district_code,DIST_NAME,EOHHS_REGION,region_confidence,SCHOOL_TYPE
790000,Dracut,Northeast,largest-area,Traditional
4070000,Dudley Street Neighborhood Charter School (District),Central,host-town-inferred,Charter
6580000,Dudley-Charlton Reg,Central,largest-area,Traditional
820000,Duxbury,Southeast,largest-area,Traditional
830000,East Bridgewater,Southeast,largest-area,Traditional
870000,East Longmeadow,Western,largest-area,Traditional
850000,Eastham,Southeast,largest-area,Traditional
860000,Easthampton,Western,largest-area,Traditional
880000,Easton,Southeast,largest-area,Traditional
890000,Edgartown,Southeast,largest-area,Traditional
4520000,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),Boston,host-town-curated,Charter
910000,Erving,Western,largest-area,Traditional
9130000,Essex Agricultural Technical,Northeast,host-town-inferred,Vocational
8170000,Essex North Shore Agricultural and Technical School District,Northeast,host-town-inferred,Vocational
930000,Everett,Northeast,largest-area,Traditional
4100000,Excel Academy Charter (District),Boston,host-town-curated,Charter
4590000,Excel Academy Charter School - Boston II (District),Boston,host-town-curated,Charter
4610000,Excel Academy Charter School - Chelsea (District),Boston,host-town-curated,Charter
940000,Fairhaven,Southeast,largest-area,Traditional
950000,Fall River,Southeast,largest-area,Traditional
960000,Falmouth,Southeast,largest-area,Traditional
6620000,Farmington River Reg,Western,largest-area,Traditional
970000,Fitchburg,Central,largest-area,Traditional
980000,Florida,Western,largest-area,Traditional
4130000,Four Rivers Charter Public (District),Western,host-town-curated,Charter
990000,Foxborough,Metro West,largest-area,Traditional
4460000,Foxborough Regional Charter (District),Metro West,host-town-inferred,Charter
1000000,Framingham,Metro West,largest-area,Traditional
4780000,Francis W. Parker Charter Essential (District),Unknown,no_intersection,Charter
1010000,Franklin,Central,largest-area,Traditional
8180000,Franklin County Regional Vocational Technical,Central,host-town-inferred,Vocational
4420000,Frederick Douglass Charter (District),Unknown,no_intersection,Charter
6650000,Freetown-Lakeville,Southeast,largest-area,Traditional
6700000,Frontier,Western,largest-area,Traditional
2920015,Gardner,Central,host-town-inferred,Traditional
6720000,Gateway,Western,largest-area,Traditional
1050000,Georgetown,Northeast,largest-area,Traditional
6740000,Gill-Montague,Western,largest-area,Traditional
4960000,Global Learning Charter Public (District),Southeast,host-town-curated,Charter
1070000,Gloucester,Northeast,largest-area,Traditional
4480000,Gloucester Community Arts Charter (District),Northeast,host-town-inferred,Charter
1090000,Gosnold,Southeast,largest-area,Traditional
1100000,Grafton,Central,largest-area,Traditional
1110000,Granby,Western,largest-area,Traditional
39010000,Greater Commonwealth Virtual District,Western,no_intersection,Traditional
8210000,Greater Fall River Regional Vocational Technical,Southeast,host-town-inferred,Vocational
8230000,Greater Lawrence Regional Vocational Technical,Northeast,host-town-inferred,Vocational
8280000,Greater Lowell Regional Vocational Technical,Northeast,host-town-inferred,Vocational
8250000,Greater New Bedford Regional Vocational Technical,Metro West,host-town-inferred,Vocational
1140000,Greenfield,Western,largest-area,Traditional
6730000,Groton-Dunstable,Central,largest-area,Traditional
4620000,Grove Hall Preparatory Charter School (District),Unknown,no_intersection,Charter
1170000,Hadley,Western,largest-area,Traditional
1180000,Halifax,Southeast,largest-area,Traditional
6750000,Hamilton-Wenham,Northeast,largest-area,Traditional
4990000,Hampden Charter School of Science (District),Western,host-town-curated,Charter
35160000,Hampden Charter School of Science West (District),Western,host-town-curated,Charter
6800000,Hampden-Wilbraham,Western,largest-area,Traditional
6830000,Hampshire,Western,largest-area,Traditional
440045,Hancock,Western,host-town-inferred,Traditional
1220000,Hanover,Southeast,largest-area,Traditional
1250000,Harvard,Central,largest-area,Traditional
1270000,Hatfield,Western,largest-area,Traditional
1280000,Haverhill,Northeast,largest-area,Traditional
6850000,Hawlemont,Western,largest-area,Traditional
4190000,Helen Y. Davis Leadership Academy Charter Public (District),Unknown,no_intersection,Charter
4550000,Hill View Montessori Charter Public (District),Unknown,no_intersection,Charter
4500000,Hilltown Cooperative Charter Public (District),Unknown,no_intersection,Charter
1310000,Hingham,Metro West,largest-area,Traditional
1330000,Holbrook,Southeast,largest-area,Traditional
1350000,Holland,Central,largest-area,Traditional
1360000,Holliston,Metro West,largest-area,Traditional
1370000,Holyoke,Western,largest-area,Traditional
4530000,Holyoke Community Charter (District),Western,host-town-inferred,Charter
6030000,Hoosac Valley Regional,Western,largest-area,Traditional
1380000,Hopedale,Central,largest-area,Traditional
1390000,Hopkinton,Metro West,largest-area,Traditional
1410000,Hudson,Metro West,largest-area,Traditional
1420000,Hull,Metro West,largest-area,Traditional
4350000,Innovation Academy Charter (District),Unknown,no_intersection,Charter
3700000,Institutional Schools,Unknown,no_intersection,Traditional
1440000,Ipswich,Northeast,largest-area,Traditional
6900000,King Philip,Metro West,largest-area,Traditional
1450000,Kingston,Southeast,largest-area,Traditional
4630000,KIPP Academy Boston Charter School (District),Boston,host-town-inferred,Charter
4290000,KIPP Academy Lynn Charter (District),Northeast,host-town-curated,Charter
460030,Lawrence,Northeast,host-town-inferred,Traditional
4540000,Lawrence Family Development Charter (District),Northeast,host-town-inferred,Charter
4010000,Lawrence Vocational,Northeast,host-town-inferred,Vocational
4860000,Learning First Charter Public School (District),Unknown,no_intersection,Charter
1500000,Lee,Western,largest-area,Traditional
1510000,Leicester,Central,largest-area,Traditional
1520000,Lenox,Western,largest-area,Traditional
1530000,Leominster,Central,largest-area,Traditional
1540000,Leverett,Western,largest-area,Traditional
1550000,Lexington,Metro West,largest-area,Traditional
35140000,Libertas Academy Charter School (District),Unknown,no_intersection,Charter
1570000,Lincoln,Metro West,largest-area,Traditional
6950000,Lincoln-Sudbury,Metro West,largest-area,Traditional
1580000,Littleton,Metro West,largest-area,Traditional
1590000,Longmeadow,Western,largest-area,Traditional
1600000,Lowell,Northeast,largest-area,Traditional
4560000,Lowell Community Charter Public (District),Northeast,host-town-curated,Charter
4580000,Lowell Middlesex Academy Charter (District),Northeast,host-town-inferred,Charter
1610000,Ludlow,Western,largest-area,Traditional
1620000,Lunenburg,Central,largest-area,Traditional
1630000,Lynn,Northeast,largest-area,Traditional
4600000,Lynn Community Charter,Northeast,host-town-inferred,Charter
1640000,Lynnfield,Northeast,largest-area,Traditional
