District,YEAR,Metric,Value
Acton-Boxborough,2019,Out-of-District FTE Pupils,124.0
Acton-Boxborough,2020,Out-of-District FTE Pupils,128.8
Acton-Boxborough,2021,Out-of-District FTE Pupils,126.0
Acton-Boxborough,2022,Out-of-District FTE Pupils,128.6
Acton-Boxborough,2023,Out-of-District FTE Pupils,120.4
Acton-Boxborough,2024,Out-of-District FTE Pupils,122.2
Acushnet,2009,In-District FTE Pupils,1032.1
Acushnet,2010,In-District FTE Pupils,1010.4
Acushnet,2011,In-District FTE Pupils,1006.4
Acushnet,2012,In-District FTE Pupils,994.7
Acushnet,2013,In-District FTE Pupils,982.1
Acushnet,2014,In-District FTE Pupils,980.1
Acushnet,2015,In-District FTE Pupils,967.5
Acushnet,2016,In-District FTE Pupils,966.7
Acushnet,2017,In-District FTE Pupils,973.1
Acushnet,2018,In-District FTE Pupils,970.4
Acushnet,2019,In-District FTE Pupils,1018.1
Acushnet,2020,In-District FTE Pupils,1018.8
Acushnet,2021,In-District FTE Pupils,922.5
Acushnet,2022,In-District FTE Pupils,942.8
Acushnet,2023,In-District FTE Pupils,965.8
Acushnet,2024,In-District FTE Pupils,953.7
Acushnet,2009,Out-of-District FTE Pupils,331.4
Acushnet,2010,Out-of-District FTE Pupils,332.4
Acushnet,2011,Out-of-District FTE Pupils,278.2
Acushnet,2012,Out-of-District FTE Pupils,269.1
Acushnet,2013,Out-of-District FTE Pupils,284.8
Acushnet,2014,Out-of-District FTE Pupils,305.5
Acushnet,2015,Out-of-District FTE Pupils,314.2
Acushnet,2016,Out-of-District FTE Pupils,329.2
Acushnet,2017,Out-of-District FTE Pupils,306.8
Acushnet,2018,Out-of-District FTE Pupils,315.4
Acushnet,2019,Out-of-District FTE Pupils,318.4
Acushnet,2020,Out-of-District FTE Pupils,306.7
Acushnet,2021,Out-of-District FTE Pupils,312.6
Acushnet,2022,Out-of-District FTE Pupils,293.0
Acushnet,2023,Out-of-District FTE Pupils,288.9
Acushnet,2024,Out-of-District FTE Pupils,278.8
Advanced Math and Science Academy Charter (District),2019,In-District FTE Pupils,972.7
Advanced Math and Science Academy Charter (District),2020,In-District FTE Pupils,964.8
Advanced Math and Science Academy Charter (District),2021,In-District FTE Pupils,963.9
Advanced Math and Science Academy Charter (District),2022,In-District FTE Pupils,965.3
Advanced Math and Science Academy Charter (District),2023,In-District FTE Pupils,964.3
Advanced Math and Science Academy Charter (District),2024,In-District FTE Pupils,965.8
Advanced Math and Science Academy Charter (District),2019,Out-of-District FTE Pupils,0.0
Advanced Math and Science Academy Charter (District),2020,Out-of-District FTE Pupils,0.0
Advanced Math and Science Academy Charter (District),2021,Out-of-District FTE Pupils,0.0
Advanced Math and Science Academy Charter (District),2022,Out-of-District FTE Pupils,0.0
Advanced Math and Science Academy Charter (District),2023,Out-of-District FTE Pupils,0.0
Advanced Math and Science Academy Charter (District),2024,Out-of-District FTE Pupils,0.0
Agawam,2009,In-District FTE Pupils,4064.2
Agawam,2010,In-District FTE Pupils,4017.2
Agawam,2011,In-District FTE Pupils,4237.1
Agawam,2012,In-District FTE Pupils,3946.0
Agawam,2013,In-District FTE Pupils,4070.3
Agawam,2014,In-District FTE Pupils,4046.9
Agawam,2015,In-District FTE Pupils,3976.8
Agawam,2016,In-District FTE Pupils,3877.2
Agawam,2017,In-District FTE Pupils,3908.8
Agawam,2018,In-District FTE Pupils,3840.1
Agawam,2019,In-District FTE Pupils,3710.3
Agawam,2020,In-District FTE Pupils,3699.1
Agawam,2021,In-District FTE Pupils,3462.6
Agawam,2022,In-District FTE Pupils,3494.9
Agawam,2023,In-District FTE Pupils,3524.8
Agawam,2024,In-District FTE Pupils,3523.0
Agawam,2009,Out-of-District FTE Pupils,153.0
Agawam,2010,Out-of-District FTE Pupils,161.0
Agawam,2011,Out-of-District FTE Pupils,141.7
Agawam,2012,Out-of-District FTE Pupils,130.2
Agawam,2013,Out-of-District FTE Pupils,132.6
Agawam,2014,Out-of-District FTE Pupils,128.6
