District,YEAR,Metric,Value
Brookline,2018,In-District FTE Pupils,7831.6
Brookline,2019,In-District FTE Pupils,7863.5
Brookline,2020,In-District FTE Pupils,7830.7
Brookline,2021,In-District FTE Pupils,6813.9
Brookline,2022,In-District FTE Pupils,7034.1
Brookline,2023,In-District FTE Pupils,7049.6
Brookline,2024,In-District FTE Pupils,7034.0
Brookline,2009,Out-of-District FTE Pupils,66.3
Brookline,2010,Out-of-District FTE Pupils,68.1
Brookline,2011,Out-of-District FTE Pupils,83.9
Brookline,2012,Out-of-District FTE Pupils,80.3
Brookline,2013,Out-of-District FTE Pupils,80.8
Brookline,2014,Out-of-District FTE Pupils,76.2
Brookline,2015,Out-of-District FTE Pupils,64.8
Brookline,2016,Out-of-District FTE Pupils,69.9
Brookline,2017,Out-of-District FTE Pupils,71.2
Brookline,2018,Out-of-District FTE Pupils,72.6
Brookline,2019,Out-of-District FTE Pupils,75.5
Brookline,2020,Out-of-District FTE Pupils,74.9
Brookline,2021,Out-of-District FTE Pupils,85.1
Brookline,2022,Out-of-District FTE Pupils,78.1
Brookline,2023,Out-of-District FTE Pupils,76.2
Brookline,2024,Out-of-District FTE Pupils,86.0
Burlington,2009,In-District FTE Pupils,3669.8
Burlington,2010,In-District FTE Pupils,3711.0
Burlington,2011,In-District FTE Pupils,3671.7
Burlington,2012,In-District FTE Pupils,3619.7
Burlington,2013,In-District FTE Pupils,3577.7
Burlington,2014,In-District FTE Pupils,3545.0
Burlington,2015,In-District FTE Pupils,3451.5
Burlington,2016,In-District FTE Pupils,3475.9
Burlington,2017,In-District FTE Pupils,3511.7
Burlington,2018,In-District FTE Pupils,3511.3
Burlington,2019,In-District FTE Pupils,3531.1
Burlington,2020,In-District FTE Pupils,3517.4
Burlington,2021,In-District FTE Pupils,3396.7
Burlington,2022,In-District FTE Pupils,3465.4
Burlington,2023,In-District FTE Pupils,3427.7
Burlington,2024,In-District FTE Pupils,3544.2
Burlington,2009,Out-of-District FTE Pupils,102.2
Burlington,2010,Out-of-District FTE Pupils,103.5
Burlington,2011,Out-of-District FTE Pupils,92.5
Burlington,2012,Out-of-District FTE Pupils,96.3
Burlington,2013,Out-of-District FTE Pupils,96.8
Burlington,2014,Out-of-District FTE Pupils,98.0
Burlington,2015,Out-of-District FTE Pupils,98.8
Burlington,2016,Out-of-District FTE Pupils,102.4
Burlington,2017,Out-of-District FTE Pupils,109.3
Burlington,2018,Out-of-District FTE Pupils,116.2
Burlington,2019,Out-of-District FTE Pupils,119.4
Burlington,2020,Out-of-District FTE Pupils,107.8
Burlington,2021,Out-of-District FTE Pupils,122.3
Burlington,2022,Out-of-District FTE Pupils,125.6
Burlington,2023,Out-of-District FTE Pupils,109.3
Burlington,2024,Out-of-District FTE Pupils,105.9
Cambridge,2009,In-District FTE Pupils,5741.4
Cambridge,2010,In-District FTE Pupils,5923.6
Cambridge,2011,In-District FTE Pupils,5973.2
Cambridge,2012,In-District FTE Pupils,6094.4
Cambridge,2013,In-District FTE Pupils,6187.2
Cambridge,2014,In-District FTE Pupils,6364.2
Cambridge,2015,In-District FTE Pupils,6428.0
Cambridge,2016,In-District FTE Pupils,6521.4
Cambridge,2017,In-District FTE Pupils,6800.7
Cambridge,2018,In-District FTE Pupils,6938.1
Cambridge,2019,In-District FTE Pupils,7063.1
Cambridge,2020,In-District FTE Pupils,7104.4
Cambridge,2021,In-District FTE Pupils,6620.0
Cambridge,2022,In-District FTE Pupils,6638.9
Cambridge,2023,In-District FTE Pupils,6664.7
Cambridge,2024,In-District FTE Pupils,6952.1
Cambridge,2009,Out-of-District FTE Pupils,466.3
Cambridge,2010,Out-of-District FTE Pupils,467.4
Cambridge,2011,Out-of-District FTE Pupils,537.8
Cambridge,2012,Out-of-District FTE Pupils,566.5
Cambridge,2013,Out-of-District FTE Pupils,579.0
Cambridge,2014,Out-of-District FTE Pupils,558.2
Cambridge,2015,Out-of-District FTE Pupils,620.6
Cambridge,2016,Out-of-District FTE Pupils,655.7
Cambridge,2017,Out-of-District FTE Pupils,626.7
Cambridge,2018,Out-of-District FTE Pupils,665.2
Cambridge,2019,Out-of-District FTE Pupils,678.3
Cambridge,2020,Out-of-District FTE Pupils,664.2
Cambridge,2021,Out-of-District FTE Pupils,671.9
Cambridge,2022,Out-of-District FTE Pupils,675.3
Cambridge,2023,Out-of-District FTE Pupils,615.2
Cambridge,2024,Out-of-District FTE Pupils,606.2
Canton,2009,In-District FTE Pupils,3094.7
Canton,2010,In-District FTE Pupils,3118.3
Canton,2011,In-District FTE Pupils,3123.7
Canton,2012,In-District FTE Pupils,3218.5
Canton,2013,In-District FTE Pupils,3202.1
Canton,2014,In-District FTE Pupils,3230.6
Canton,2015,In-District FTE Pupils,3359.4
Canton,2016,In-District FTE Pupils,3280.1
Canton,2017,In-District FTE Pupils,3323.1
Canton,2018,In-District FTE Pupils,3313.9
Canton,2019,In-District FTE Pupils,3298.5
Canton,2020,In-District FTE Pupils,3294.3
Canton,2021,In-District FTE Pupils,3168.2
Canton,2022,In-District FTE Pupils,3243.2
Canton,2023,In-District FTE Pupils,3208.4
Canton,2024,In-District FTE Pupils,3264.7
Canton,2009,Out-of-District FTE Pupils,60.2
Canton,2010,Out-of-District FTE Pupils,60.0
Canton,2011,Out-of-District FTE Pupils,58.8
Canton,2012,Out-of-District FTE Pupils,54.5
Canton,2013,Out-of-District FTE Pupils,74.4
Canton,2014,Out-of-District FTE Pupils,86.9
Canton,2015,Out-of-District FTE Pupils,75.5
Canton,2016,Out-of-District FTE Pupils,72.7
Canton,2017,Out-of-District FTE Pupils,68.2
Canton,2018,Out-of-District FTE Pupils,72.3
Canton,2019,Out-of-District FTE Pupils,79.8
Canton,2020,Out-of-District FTE Pupils,80.5
Canton,2021,Out-of-District FTE Pupils,93.1
Canton,2022,Out-of-District FTE Pupils,103.6
Canton,2023,Out-of-District FTE Pupils,95.8
Canton,2024,Out-of-District FTE Pupils,87.7
Cape Cod Lighthouse Charter (District),2019,In-District FTE Pupils,242.1
Cape Cod Lighthouse Charter (District),2020,In-District FTE Pupils,242.8
Cape Cod Lighthouse Charter (District),2021,In-District FTE Pupils,254.1
Cape Cod Lighthouse Charter (District),2022,In-District FTE Pupils,249.2
Cape Cod Lighthouse Charter (District),2023,In-District FTE Pupils,249.1
Cape Cod Lighthouse Charter (District),2024,In-District FTE Pupils,249.8
Cape Cod Lighthouse Charter (District),2019,Out-of-District FTE Pupils,0.0
Cape Cod Lighthouse Charter (District),2020,Out-of-District FTE Pupils,0.0
Cape Cod Lighthouse Charter (District),2021,Out-of-District FTE Pupils,0.0
Cape Cod Lighthouse Charter (District),2022,Out-of-District FTE Pupils,0.0
Cape Cod Lighthouse Charter (District),2023,Out-of-District FTE Pupils,0.0
Cape Cod Lighthouse Charter (District),2024,Out-of-District FTE Pupils,0.0
Cape Cod Regional Vocational Technical,2009,In-District FTE Pupils,691.7
Cape Cod Regional Vocational Technical,2010,In-District FTE Pupils,671.8
Cape Cod Regional Vocational Technical,2011,In-District FTE Pupils,684.9
Cape Cod Regional Vocational Technical,2012,In-District FTE Pupils,658.0
Cape Cod Regional Vocational Technical,2013,In-District FTE Pupils,648.6
Cape Cod Regional Vocational Technical,2014,In-District FTE Pupils,638.9
Cape Cod Regional Vocational Technical,2015,In-District FTE Pupils,633.1
Cape Cod Regional Vocational Technical,2016,In-District FTE Pupils,622.8
Cape Cod Regional Vocational Technical,2017,In-District FTE Pupils,612.7
Cape Cod Regional Vocational Technical,2018,In-District FTE Pupils,582.1
Cape Cod Regional Vocational Technical,2019,In-District FTE Pupils,569.4
Cape Cod Regional Vocational Technical,2020,In-District FTE Pupils,608.5
Cape Cod Regional Vocational Technical,2021,In-District FTE Pupils,622.2
Cape Cod Regional Vocational Technical,2022,In-District FTE Pupils,641.2
Cape Cod Regional Vocational Technical,2023,In-District FTE Pupils,645.7
Cape Cod Regional Vocational Technical,2024,In-District FTE Pupils,648.1
Cape Cod Regional Vocational Technical,2009,Out-of-District FTE Pupils,0.0
Cape Cod Regional Vocational Technical,2010,Out-of-District FTE Pupils,0.0
Cape Cod Regional Vocational Technical,2011,Out-of-District FTE Pupils,0.0
Cape Cod Regional Vocational Technical,2012,Out-of-District FTE Pupils,0.0
Cape Cod Regional Vocational Technical,2013,Out-of-District FTE Pupils,0.0
Cape Cod Regional Vocational Technical,2014,Out-of-District FTE Pupils,0.0
Cape Cod Regional Vocational Technical,2015,Out-of-District FTE Pupils,2.0
Cape Cod Regional Vocational Technical,2016,Out-of-District FTE Pupils,3.8
Cape Cod Regional Vocational Technical,2017,Out-of-District FTE Pupils,2.9
Cape Cod Regional Vocational Technical,2018,Out-of-District FTE Pupils,3.0
Cape Cod Regional Vocational Technical,2019,Out-of-District FTE Pupils,4.0
Cape Cod Regional Vocational Technical,2020,Out-of-District FTE Pupils,10.2
Cape Cod Regional Vocational Technical,2021,Out-of-District FTE Pupils,7.0
Cape Cod Regional Vocational Technical,2022,Out-of-District FTE Pupils,2.9
Cape Cod Regional Vocational Technical,2023,Out-of-District FTE Pupils,2.7
Cape Cod Regional Vocational Technical,2024,Out-of-District FTE Pupils,4.3
Carlisle,2009,In-District FTE Pupils,727.5
Carlisle,2010,In-District FTE Pupils,700.7
Carlisle,2011,In-District FTE Pupils,677.7
Carlisle,2012,In-District FTE Pupils,643.1
Carlisle,2013,In-District FTE Pupils,638.2
Carlisle,2014,In-District FTE Pupils,635.0
Carlisle,2015,In-District FTE Pupils,638.8
Carlisle,2016,In-District FTE Pupils,606.5
Carlisle,2017,In-District FTE Pupils,587.9
Carlisle,2018,In-District FTE Pupils,616.4
Carlisle,2019,In-District FTE Pupils,601.8
Carlisle,2020,In-District FTE Pupils,602.3
Carlisle,2021,In-District FTE Pupils,586.1
Carlisle,2022,In-District FTE Pupils,621.5
Carlisle,2023,In-District FTE Pupils,602.9
Carlisle,2024,In-District FTE Pupils,605.4
Carlisle,2009,Out-of-District FTE Pupils,7.0
Carlisle,2010,Out-of-District FTE Pupils,6.0
Carlisle,2011,Out-of-District FTE Pupils,10.4
Carlisle,2012,Out-of-District FTE Pupils,11.0
Carlisle,2013,Out-of-District FTE Pupils,11.8
Carlisle,2014,Out-of-District FTE Pupils,7.1
Carlisle,2015,Out-of-District FTE Pupils,7.0
Carlisle,2016,Out-of-District FTE Pupils,11.0
Carlisle,2017,Out-of-District FTE Pupils,10.0
Carlisle,2018,Out-of-District FTE Pupils,13.0
Carlisle,2019,Out-of-District FTE Pupils,13.0
Carlisle,2020,Out-of-District FTE Pupils,15.0
Carlisle,2021,Out-of-District FTE Pupils,11.9
Carlisle,2022,Out-of-District FTE Pupils,8.0
Carlisle,2023,Out-of-District FTE Pupils,8.0
Carlisle,2024,Out-of-District FTE Pupils,7.0
Carver,2009,In-District FTE Pupils,1890.9
Carver,2010,In-District FTE Pupils,1899.9
Carver,2011,In-District FTE Pupils,1869.3
Carver,2012,In-District FTE Pupils,1828.6
Carver,2013,In-District FTE Pupils,1797.6
Carver,2014,In-District FTE Pupils,1763.3
Carver,2015,In-District FTE Pupils,1625.1
Carver,2016,In-District FTE Pupils,1626.9
Carver,2017,In-District FTE Pupils,1611.4
Carver,2018,In-District FTE Pupils,1566.7
Carver,2019,In-District FTE Pupils,1565.2
Carver,2020,In-District FTE Pupils,1584.5
Carver,2021,In-District FTE Pupils,1478.7
Carver,2022,In-District FTE Pupils,1511.4
Carver,2023,In-District FTE Pupils,1545.0
Carver,2024,In-District FTE Pupils,1504.5
Carver,2009,Out-of-District FTE Pupils,53.1
Carver,2010,Out-of-District FTE Pupils,45.3
Carver,2011,Out-of-District FTE Pupils,54.9
Carver,2012,Out-of-District FTE Pupils,57.5
Carver,2013,Out-of-District FTE Pupils,42.7
Carver,2014,Out-of-District FTE Pupils,48.7
Carver,2015,Out-of-District FTE Pupils,59.6
Carver,2016,Out-of-District FTE Pupils,58.4
Carver,2017,Out-of-District FTE Pupils,69.0
Carver,2018,Out-of-District FTE Pupils,86.0
Carver,2019,Out-of-District FTE Pupils,87.2
Carver,2020,Out-of-District FTE Pupils,94.5
Carver,2021,Out-of-District FTE Pupils,101.2
Carver,2022,Out-of-District FTE Pupils,99.7
Carver,2023,Out-of-District FTE Pupils,101.0
Carver,2024,Out-of-District FTE Pupils,116.0
Central Berkshire,2009,In-District FTE Pupils,2034.1
Central Berkshire,2010,In-District FTE Pupils,2003.5
Central Berkshire,2011,In-District FTE Pupils,1934.0
Central Berkshire,2012,In-District FTE Pupils,1835.3
Central Berkshire,2013,In-District FTE Pupils,1766.1
Central Berkshire,2014,In-District FTE Pupils,1730.1
Central Berkshire,2015,In-District FTE Pupils,1712.2
Central Berkshire,2016,In-District FTE Pupils,1628.6
Central Berkshire,2017,In-District FTE Pupils,1621.7
Central Berkshire,2018,In-District FTE Pupils,1610.3
Central Berkshire,2019,In-District FTE Pupils,1595.9
Central Berkshire,2020,In-District FTE Pupils,1576.3
Central Berkshire,2021,In-District FTE Pupils,1521.6
Central Berkshire,2022,In-District FTE Pupils,1544.7
Central Berkshire,2023,In-District FTE Pupils,1559.8
Central Berkshire,2024,In-District FTE Pupils,1585.9
Central Berkshire,2009,Out-of-District FTE Pupils,194.8
Central Berkshire,2010,Out-of-District FTE Pupils,173.1
Central Berkshire,2011,Out-of-District FTE Pupils,166.6
Central Berkshire,2012,Out-of-District FTE Pupils,165.3
Central Berkshire,2013,Out-of-District FTE Pupils,154.7
Central Berkshire,2014,Out-of-District FTE Pupils,156.7
Central Berkshire,2015,Out-of-District FTE Pupils,166.6
Central Berkshire,2016,Out-of-District FTE Pupils,190.1
Central Berkshire,2017,Out-of-District FTE Pupils,213.8
Central Berkshire,2018,Out-of-District FTE Pupils,224.1
Central Berkshire,2019,Out-of-District FTE Pupils,230.3
Central Berkshire,2020,Out-of-District FTE Pupils,225.0
Central Berkshire,2021,Out-of-District FTE Pupils,236.1
Central Berkshire,2022,Out-of-District FTE Pupils,214.9
Central Berkshire,2023,Out-of-District FTE Pupils,213.1
Central Berkshire,2024,Out-of-District FTE Pupils,200.7
Chatham,2009,In-District FTE Pupils,688.1
Chatham,2010,In-District FTE Pupils,676.4
Chatham,2011,In-District FTE Pupils,696.6
Chatham,2012,In-District FTE Pupils,636.6
Chatham,2009,Out-of-District FTE Pupils,52.3
Chatham,2010,Out-of-District FTE Pupils,59.6
Chatham,2011,Out-of-District FTE Pupils,64.1
Chatham,2012,Out-of-District FTE Pupils,87.8
Chelmsford,2009,In-District FTE Pupils,5570.6
Chelmsford,2010,In-District FTE Pupils,5478.2
Chelmsford,2011,In-District FTE Pupils,5390.2
Chelmsford,2012,In-District FTE Pupils,5192.6
Chelmsford,2013,In-District FTE Pupils,5087.3
Chelmsford,2014,In-District FTE Pupils,5066.3
Chelmsford,2015,In-District FTE Pupils,5028.4
Chelmsford,2016,In-District FTE Pupils,4933.9
Chelmsford,2017,In-District FTE Pupils,4978.3
Chelmsford,2018,In-District FTE Pupils,5010.5
Chelmsford,2019,In-District FTE Pupils,5011.3
Chelmsford,2020,In-District FTE Pupils,5035.0
Chelmsford,2021,In-District FTE Pupils,4827.8
Chelmsford,2022,In-District FTE Pupils,4995.6
Chelmsford,2023,In-District FTE Pupils,5059.8
Chelmsford,2024,In-District FTE Pupils,5137.8
Chelmsford,2009,Out-of-District FTE Pupils,240.4
Chelmsford,2010,Out-of-District FTE Pupils,257.0
Chelmsford,2011,Out-of-District FTE Pupils,262.2
Chelmsford,2012,Out-of-District FTE Pupils,253.7
Chelmsford,2013,Out-of-District FTE Pupils,255.1
Chelmsford,2014,Out-of-District FTE Pupils,248.3
Chelmsford,2015,Out-of-District FTE Pupils,268.5
Chelmsford,2016,Out-of-District FTE Pupils,275.0
Chelmsford,2017,Out-of-District FTE Pupils,261.9
Chelmsford,2018,Out-of-District FTE Pupils,250.8
Chelmsford,2019,Out-of-District FTE Pupils,261.9
Chelmsford,2020,Out-of-District FTE Pupils,222.9
Chelmsford,2021,Out-of-District FTE Pupils,240.2
Chelmsford,2022,Out-of-District FTE Pupils,238.3
Chelmsford,2023,Out-of-District FTE Pupils,223.4
Chelmsford,2024,Out-of-District FTE Pupils,208.0
Chelsea,2009,In-District FTE Pupils,5522.5
Chelsea,2010,In-District FTE Pupils,5622.4
Chelsea,2011,In-District FTE Pupils,5512.4
Chelsea,2012,In-District FTE Pupils,5680.6
Chelsea,2013,In-District FTE Pupils,5864.6
Chelsea,2014,In-District FTE Pupils,6057.7
Chelsea,2015,In-District FTE Pupils,6300.4
Chelsea,2016,In-District FTE Pupils,6362.5
Chelsea,2017,In-District FTE Pupils,6301.5
Chelsea,2018,In-District FTE Pupils,6292.4
Chelsea,2019,In-District FTE Pupils,6063.0
Chelsea,2020,In-District FTE Pupils,6257.4
Chelsea,2021,In-District FTE Pupils,5952.9
Chelsea,2022,In-District FTE Pupils,6163.5
Chelsea,2023,In-District FTE Pupils,6192.9
Chelsea,2024,In-District FTE Pupils,6184.2
Chelsea,2009,Out-of-District FTE Pupils,318.0
Chelsea,2010,Out-of-District FTE Pupils,328.0
Chelsea,2011,Out-of-District FTE Pupils,334.5
Chelsea,2012,Out-of-District FTE Pupils,402.9
Chelsea,2013,Out-of-District FTE Pupils,513.2
Chelsea,2014,Out-of-District FTE Pupils,602.1
Chelsea,2015,Out-of-District FTE Pupils,714.2
Chelsea,2016,Out-of-District FTE Pupils,885.5
Chelsea,2017,Out-of-District FTE Pupils,978.8
Chelsea,2018,Out-of-District FTE Pupils,1081.3
Chelsea,2019,Out-of-District FTE Pupils,1148.2
Chelsea,2020,Out-of-District FTE Pupils,1168.4
Chelsea,2021,Out-of-District FTE Pupils,1184.7
Chelsea,2022,Out-of-District FTE Pupils,1147.5
Chelsea,2023,Out-of-District FTE Pupils,1104.9
Chelsea,2024,Out-of-District FTE Pupils,1109.6
Chesterfield-Goshen,2009,In-District FTE Pupils,184.5
Chesterfield-Goshen,2010,In-District FTE Pupils,186.0
Chesterfield-Goshen,2011,In-District FTE Pupils,169.0
Chesterfield-Goshen,2012,In-District FTE Pupils,174.6
Chesterfield-Goshen,2013,In-District FTE Pupils,169.3
Chesterfield-Goshen,2014,In-District FTE Pupils,157.6
Chesterfield-Goshen,2015,In-District FTE Pupils,152.2
Chesterfield-Goshen,2016,In-District FTE Pupils,151.9
Chesterfield-Goshen,2017,In-District FTE Pupils,142.0
Chesterfield-Goshen,2018,In-District FTE Pupils,137.6
Chesterfield-Goshen,2019,In-District FTE Pupils,129.0
Chesterfield-Goshen,2020,In-District FTE Pupils,129.6
Chesterfield-Goshen,2021,In-District FTE Pupils,113.1
Chesterfield-Goshen,2022,In-District FTE Pupils,148.3
Chesterfield-Goshen,2023,In-District FTE Pupils,149.5
Chesterfield-Goshen,2009,Out-of-District FTE Pupils,25.8
Chesterfield-Goshen,2010,Out-of-District FTE Pupils,21.0
Chesterfield-Goshen,2011,Out-of-District FTE Pupils,22.2
Chesterfield-Goshen,2012,Out-of-District FTE Pupils,18.4
Chesterfield-Goshen,2013,Out-of-District FTE Pupils,15.0
Chesterfield-Goshen,2014,Out-of-District FTE Pupils,11.4
Chesterfield-Goshen,2015,Out-of-District FTE Pupils,13.8
Chesterfield-Goshen,2016,Out-of-District FTE Pupils,15.0
Chesterfield-Goshen,2017,Out-of-District FTE Pupils,18.1
Chesterfield-Goshen,2018,Out-of-District FTE Pupils,17.2
Chesterfield-Goshen,2019,Out-of-District FTE Pupils,16.0
Chesterfield-Goshen,2020,Out-of-District FTE Pupils,14.8
Chesterfield-Goshen,2021,Out-of-District FTE Pupils,13.3
Chesterfield-Goshen,2022,Out-of-District FTE Pupils,9.7
Chesterfield-Goshen,2023,Out-of-District FTE Pupils,11.1
Chicopee,2009,In-District FTE Pupils,7721.1
Chicopee,2010,In-District FTE Pupils,7775.1
Chicopee,2011,In-District FTE Pupils,7806.7
Chicopee,2012,In-District FTE Pupils,7636.2
Chicopee,2013,In-District FTE Pupils,7565.1
Chicopee,2014,In-District FTE Pupils,7590.9
Chicopee,2015,In-District FTE Pupils,7618.3
Chicopee,2016,In-District FTE Pupils,7578.6
Chicopee,2017,In-District FTE Pupils,7673.3
Chicopee,2018,In-District FTE Pupils,7536.7
Chicopee,2019,In-District FTE Pupils,7433.2
Chicopee,2020,In-District FTE Pupils,7281.2
Chicopee,2021,In-District FTE Pupils,6798.1
Chicopee,2022,In-District FTE Pupils,6852.6
Chicopee,2023,In-District FTE Pupils,6740.5
Chicopee,2024,In-District FTE Pupils,6833.9
Chicopee,2009,Out-of-District FTE Pupils,163.0
Chicopee,2010,Out-of-District FTE Pupils,217.1
Chicopee,2011,Out-of-District FTE Pupils,233.3
Chicopee,2012,Out-of-District FTE Pupils,257.8
Chicopee,2013,Out-of-District FTE Pupils,285.8
Chicopee,2014,Out-of-District FTE Pupils,330.5
Chicopee,2015,Out-of-District FTE Pupils,332.6
Chicopee,2016,Out-of-District FTE Pupils,364.1
Chicopee,2017,Out-of-District FTE Pupils,439.0
Chicopee,2018,Out-of-District FTE Pupils,515.5
Chicopee,2019,Out-of-District FTE Pupils,523.5
Chicopee,2020,Out-of-District FTE Pupils,601.3
Chicopee,2021,Out-of-District FTE Pupils,626.1
Chicopee,2022,Out-of-District FTE Pupils,678.7
Chicopee,2023,Out-of-District FTE Pupils,724.1
Chicopee,2024,Out-of-District FTE Pupils,695.8
Christa McAuliffe Charter School (District),2019,In-District FTE Pupils,393.6
Christa McAuliffe Charter School (District),2020,In-District FTE Pupils,396.3
Christa McAuliffe Charter School (District),2021,In-District FTE Pupils,398.7
Christa McAuliffe Charter School (District),2022,In-District FTE Pupils,383.8
Christa McAuliffe Charter School (District),2023,In-District FTE Pupils,326.9
Christa McAuliffe Charter School (District),2024,In-District FTE Pupils,290.6
Christa McAuliffe Charter School (District),2019,Out-of-District FTE Pupils,0.0
Christa McAuliffe Charter School (District),2020,Out-of-District FTE Pupils,0.0
Christa McAuliffe Charter School (District),2021,Out-of-District FTE Pupils,0.0
Christa McAuliffe Charter School (District),2022,Out-of-District FTE Pupils,0.0
Christa McAuliffe Charter School (District),2023,Out-of-District FTE Pupils,0.0
Christa McAuliffe Charter School (District),2024,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School (District),2019,In-District FTE Pupils,257.8
City on a Hill Charter Public School (District),2020,In-District FTE Pupils,216.3
City on a Hill Charter Public School (District),2021,In-District FTE Pupils,300.4
City on a Hill Charter Public School (District),2022,In-District FTE Pupils,218.0
City on a Hill Charter Public School (District),2023,In-District FTE Pupils,193.1
City on a Hill Charter Public School (District),2024,In-District FTE Pupils,188.7
City on a Hill Charter Public School (District),2019,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School (District),2020,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School (District),2021,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School (District),2022,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School (District),2023,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School (District),2024,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School Dudley Square (District),2019,In-District FTE Pupils,243.8
City on a Hill Charter Public School Dudley Square (District),2020,In-District FTE Pupils,188.1
City on a Hill Charter Public School Dudley Square (District),2019,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School Dudley Square (District),2020,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School New Bedford (District),2019,In-District FTE Pupils,208.3
City on a Hill Charter Public School New Bedford (District),2020,In-District FTE Pupils,102.6
City on a Hill Charter Public School New Bedford (District),2019,Out-of-District FTE Pupils,0.0
City on a Hill Charter Public School New Bedford (District),2020,Out-of-District FTE Pupils,0.0
Clarksburg,2009,In-District FTE Pupils,197.3
Clarksburg,2010,In-District FTE Pupils,172.5
Clarksburg,2011,In-District FTE Pupils,185.4
Clarksburg,2012,In-District FTE Pupils,180.4
Clarksburg,2013,In-District FTE Pupils,170.5
Clarksburg,2014,In-District FTE Pupils,178.2
Clarksburg,2015,In-District FTE Pupils,170.5
Clarksburg,2016,In-District FTE Pupils,163.7
Clarksburg,2017,In-District FTE Pupils,177.0
Clarksburg,2018,In-District FTE Pupils,187.4
Clarksburg,2019,In-District FTE Pupils,183.7
Clarksburg,2020,In-District FTE Pupils,194.0
Clarksburg,2021,In-District FTE Pupils,189.8
Clarksburg,2022,In-District FTE Pupils,207.7
Clarksburg,2023,In-District FTE Pupils,191.7
Clarksburg,2024,In-District FTE Pupils,208.0
Clarksburg,2009,Out-of-District FTE Pupils,70.3
Clarksburg,2010,Out-of-District FTE Pupils,75.0
Clarksburg,2011,Out-of-District FTE Pupils,71.7
Clarksburg,2012,Out-of-District FTE Pupils,66.1
Clarksburg,2013,Out-of-District FTE Pupils,54.4
Clarksburg,2014,Out-of-District FTE Pupils,45.2
Clarksburg,2015,Out-of-District FTE Pupils,42.6
Clarksburg,2016,Out-of-District FTE Pupils,49.1
Clarksburg,2017,Out-of-District FTE Pupils,51.3
Clarksburg,2018,Out-of-District FTE Pupils,59.5
Clarksburg,2019,Out-of-District FTE Pupils,59.1
Clarksburg,2020,Out-of-District FTE Pupils,39.4
Clarksburg,2021,Out-of-District FTE Pupils,42.6
Clarksburg,2022,Out-of-District FTE Pupils,47.0
Clarksburg,2023,Out-of-District FTE Pupils,43.9
Clarksburg,2024,Out-of-District FTE Pupils,54.4
Clinton,2009,In-District FTE Pupils,2033.9
Clinton,2010,In-District FTE Pupils,2007.1
Clinton,2011,In-District FTE Pupils,1960.1
Clinton,2012,In-District FTE Pupils,1924.6
Clinton,2013,In-District FTE Pupils,1903.7
Clinton,2014,In-District FTE Pupils,1895.4
Clinton,2015,In-District FTE Pupils,1857.3
Clinton,2016,In-District FTE Pupils,1843.8
Clinton,2017,In-District FTE Pupils,1875.2
Clinton,2018,In-District FTE Pupils,1848.8
Clinton,2019,In-District FTE Pupils,1861.1
Clinton,2020,In-District FTE Pupils,1905.9
Clinton,2021,In-District FTE Pupils,1819.1
Clinton,2022,In-District FTE Pupils,1940.7
Clinton,2023,In-District FTE Pupils,1952.1
Clinton,2024,In-District FTE Pupils,1993.8
Clinton,2009,Out-of-District FTE Pupils,208.3
Clinton,2010,Out-of-District FTE Pupils,211.3
Clinton,2011,Out-of-District FTE Pupils,247.4
Clinton,2012,Out-of-District FTE Pupils,289.2
Clinton,2013,Out-of-District FTE Pupils,319.7
Clinton,2014,Out-of-District FTE Pupils,319.1
Clinton,2015,Out-of-District FTE Pupils,321.9
Clinton,2016,Out-of-District FTE Pupils,324.7
Clinton,2017,Out-of-District FTE Pupils,318.1
Clinton,2018,Out-of-District FTE Pupils,308.1
Clinton,2019,Out-of-District FTE Pupils,314.2
Clinton,2020,Out-of-District FTE Pupils,328.1
Clinton,2021,Out-of-District FTE Pupils,324.8
Clinton,2022,Out-of-District FTE Pupils,292.2
Clinton,2023,Out-of-District FTE Pupils,257.8
Clinton,2024,Out-of-District FTE Pupils,243.4
Codman Academy Charter Public (District),2019,In-District FTE Pupils,344.5
Codman Academy Charter Public (District),2020,In-District FTE Pupils,339.9
Codman Academy Charter Public (District),2021,In-District FTE Pupils,347.0
Codman Academy Charter Public (District),2022,In-District FTE Pupils,341.3
Codman Academy Charter Public (District),2023,In-District FTE Pupils,337.7
Codman Academy Charter Public (District),2024,In-District FTE Pupils,339.9
Codman Academy Charter Public (District),2019,Out-of-District FTE Pupils,0.0
Codman Academy Charter Public (District),2020,Out-of-District FTE Pupils,0.0
Codman Academy Charter Public (District),2021,Out-of-District FTE Pupils,0.0
Codman Academy Charter Public (District),2022,Out-of-District FTE Pupils,0.0
Codman Academy Charter Public (District),2023,Out-of-District FTE Pupils,0.0
Codman Academy Charter Public (District),2024,Out-of-District FTE Pupils,0.0
