District,YEAR,Category,PPE
Abby Kelley Foster Charter Public (District),2019,Teachers,4646.0
Abby Kelley Foster Charter Public (District),2020,Teachers,4838.0
Abby Kelley Foster Charter Public (District),2021,Teachers,5327.0
Abby Kelley Foster Charter Public (District),2022,Teachers,5738.0
Abby Kelley Foster Charter Public (District),2023,Teachers,6664.0
Abby Kelley Foster Charter Public (District),2024,Teachers,7312.0
Abby Kelley Foster Charter Public (District),2019,"Insurance, Retirement and Other",3646.0
Abby Kelley Foster Charter Public (District),2020,"Insurance, Retirement and Other",4184.0
Abby Kelley Foster Charter Public (District),2021,"Insurance, Retirement and Other",4898.0
Abby Kelley Foster Charter Public (District),2022,"Insurance, Retirement and Other",1935.0
Abby Kelley Foster Charter Public (District),2023,"Insurance, Retirement and Other",2030.0
Abby Kelley Foster Charter Public (District),2024,"Insurance, Retirement and Other",2130.0
Abby Kelley Foster Charter Public (District),2019,Pupil Services,1664.0
Abby Kelley Foster Charter Public (District),2020,Pupil Services,1509.0
Abby Kelley Foster Charter Public (District),2021,Pupil Services,1313.0
Abby Kelley Foster Charter Public (District),2022,Pupil Services,1968.0
Abby Kelley Foster Charter Public (District),2023,Pupil Services,2039.0
Abby Kelley Foster Charter Public (District),2024,Pupil Services,2289.0
Abby Kelley Foster Charter Public (District),2019,Other Teaching Services,840.0
Abby Kelley Foster Charter Public (District),2020,Other Teaching Services,759.0
Abby Kelley Foster Charter Public (District),2021,Other Teaching Services,861.0
Abby Kelley Foster Charter Public (District),2022,Other Teaching Services,912.0
Abby Kelley Foster Charter Public (District),2023,Other Teaching Services,970.0
Abby Kelley Foster Charter Public (District),2024,Other Teaching Services,873.0
Abby Kelley Foster Charter Public (District),2019,Operations and Maintenance,1729.0
Abby Kelley Foster Charter Public (District),2020,Operations and Maintenance,1326.0
Abby Kelley Foster Charter Public (District),2021,Operations and Maintenance,1445.0
Abby Kelley Foster Charter Public (District),2022,Operations and Maintenance,1563.0
Abby Kelley Foster Charter Public (District),2023,Operations and Maintenance,1965.0
Abby Kelley Foster Charter Public (District),2024,Operations and Maintenance,1503.0
Abby Kelley Foster Charter Public (District),2019,Instructional Leadership,1162.0
Abby Kelley Foster Charter Public (District),2020,Instructional Leadership,1204.0
Abby Kelley Foster Charter Public (District),2021,Instructional Leadership,1045.0
Abby Kelley Foster Charter Public (District),2022,Instructional Leadership,1006.0
Abby Kelley Foster Charter Public (District),2023,Instructional Leadership,629.0
Abby Kelley Foster Charter Public (District),2024,Instructional Leadership,570.0
Abby Kelley Foster Charter Public (District),2019,Administration,866.0
Abby Kelley Foster Charter Public (District),2020,Administration,857.0
Abby Kelley Foster Charter Public (District),2021,Administration,1059.0
Abby Kelley Foster Charter Public (District),2022,Administration,1508.0
Abby Kelley Foster Charter Public (District),2023,Administration,1756.0
Abby Kelley Foster Charter Public (District),2024,Administration,2165.0
Abby Kelley Foster Charter Public (District),2019,"Guidance, Counseling and Testing",341.0
Abby Kelley Foster Charter Public (District),2020,"Guidance, Counseling and Testing",395.0
Abby Kelley Foster Charter Public (District),2021,"Guidance, Counseling and Testing",438.0
Abby Kelley Foster Charter Public (District),2022,"Guidance, Counseling and Testing",479.0
Abby Kelley Foster Charter Public (District),2023,"Guidance, Counseling and Testing",507.0
Abby Kelley Foster Charter Public (District),2024,"Guidance, Counseling and Testing",552.0
Abby Kelley Foster Charter Public (District),2019,Other,468.0
Abby Kelley Foster Charter Public (District),2020,Other,324.0
Abby Kelley Foster Charter Public (District),2021,Other,468.0
Abby Kelley Foster Charter Public (District),2022,Other,671.0
Abby Kelley Foster Charter Public (District),2023,Other,555.0
Abby Kelley Foster Charter Public (District),2024,Other,538.0
Abington,2009,Teachers,3866.0
Abington,2010,Teachers,3782.0
Abington,2011,Teachers,3949.0
Abington,2012,Teachers,4188.0
Abington,2013,Teachers,4275.0
Abington,2014,Teachers,4698.0
Abington,2015,Teachers,4868.0
Abington,2016,Teachers,5059.0
Abington,2017,Teachers,5336.0
Abington,2018,Teachers,5202.0
Abington,2019,Teachers,5543.0
Abington,2020,Teachers,5524.0
Abington,2021,Teachers,5717.0
Abington,2022,Teachers,5855.0
Abington,2023,Teachers,6330.0
Abington,2024,Teachers,6531.0
Abington,2009,"Insurance, Retirement and Other",1763.0
Abington,2010,"Insurance, Retirement and Other",1667.0
Abington,2011,"Insurance, Retirement and Other",1974.0
Abington,2012,"Insurance, Retirement and Other",2039.0
Abington,2013,"Insurance, Retirement and Other",1892.0
Abington,2014,"Insurance, Retirement and Other",1995.0
Abington,2015,"Insurance, Retirement and Other",2039.0
Abington,2016,"Insurance, Retirement and Other",2146.0
Abington,2017,"Insurance, Retirement and Other",2415.0
Abington,2018,"Insurance, Retirement and Other",2444.0
Abington,2019,"Insurance, Retirement and Other",2469.0
Abington,2020,"Insurance, Retirement and Other",2630.0
Abington,2021,"Insurance, Retirement and Other",2752.0
Abington,2022,"Insurance, Retirement and Other",2819.0
Abington,2023,"Insurance, Retirement and Other",3022.0
Abington,2024,"Insurance, Retirement and Other",3082.0
Abington,2009,Pupil Services,828.0
Abington,2010,Pupil Services,768.0
Abington,2011,Pupil Services,875.0
Abington,2012,Pupil Services,999.0
Abington,2013,Pupil Services,1015.0
Abington,2014,Pupil Services,1072.0
Abington,2015,Pupil Services,1083.0
Abington,2016,Pupil Services,1153.0
Abington,2017,Pupil Services,1193.0
Abington,2018,Pupil Services,1233.0
Abington,2019,Pupil Services,1432.0
Abington,2020,Pupil Services,1154.0
Abington,2021,Pupil Services,1077.0
Abington,2022,Pupil Services,1644.0
Abington,2023,Pupil Services,1694.0
Abington,2024,Pupil Services,1827.0
Abington,2009,Other Teaching Services,833.0
Abington,2010,Other Teaching Services,607.0
Abington,2011,Other Teaching Services,814.0
Abington,2012,Other Teaching Services,841.0
Abington,2013,Other Teaching Services,837.0
Abington,2014,Other Teaching Services,1044.0
Abington,2015,Other Teaching Services,1117.0
Abington,2016,Other Teaching Services,1114.0
Abington,2017,Other Teaching Services,1035.0
Abington,2018,Other Teaching Services,1197.0
Abington,2019,Other Teaching Services,1267.0
Abington,2020,Other Teaching Services,1365.0
Abington,2021,Other Teaching Services,1678.0
Abington,2022,Other Teaching Services,1889.0
Abington,2023,Other Teaching Services,1954.0
Abington,2024,Other Teaching Services,2141.0
Abington,2009,Operations and Maintenance,768.0
Abington,2010,Operations and Maintenance,682.0
Abington,2011,Operations and Maintenance,933.0
Abington,2012,Operations and Maintenance,743.0
Abington,2013,Operations and Maintenance,711.0
Abington,2014,Operations and Maintenance,783.0
Abington,2015,Operations and Maintenance,796.0
Abington,2016,Operations and Maintenance,826.0
Abington,2017,Operations and Maintenance,832.0
Abington,2018,Operations and Maintenance,940.0
Abington,2019,Operations and Maintenance,1002.0
Abington,2020,Operations and Maintenance,914.0
Abington,2021,Operations and Maintenance,1095.0
Abington,2022,Operations and Maintenance,975.0
Abington,2023,Operations and Maintenance,1224.0
Abington,2024,Operations and Maintenance,1119.0
Abington,2009,Instructional Leadership,503.0
Abington,2010,Instructional Leadership,499.0
Abington,2011,Instructional Leadership,504.0
Abington,2012,Instructional Leadership,541.0
Abington,2013,Instructional Leadership,554.0
Abington,2014,Instructional Leadership,653.0
Abington,2015,Instructional Leadership,722.0
Abington,2016,Instructional Leadership,686.0
Abington,2017,Instructional Leadership,700.0
Abington,2018,Instructional Leadership,734.0
Abington,2019,Instructional Leadership,768.0
Abington,2020,Instructional Leadership,815.0
Abington,2021,Instructional Leadership,858.0
Abington,2022,Instructional Leadership,853.0
Abington,2023,Instructional Leadership,894.0
Abington,2024,Instructional Leadership,961.0
Abington,2009,Administration,333.0
Abington,2010,Administration,305.0
Abington,2011,Administration,320.0
Abington,2012,Administration,356.0
Abington,2013,Administration,467.0
Abington,2014,Administration,403.0
Abington,2015,Administration,414.0
Abington,2016,Administration,406.0
Abington,2017,Administration,421.0
Abington,2018,Administration,461.0
Abington,2019,Administration,384.0
Abington,2020,Administration,377.0
Abington,2021,Administration,405.0
Abington,2022,Administration,406.0
Abington,2023,Administration,420.0
Abington,2024,Administration,388.0
Abington,2009,"Guidance, Counseling and Testing",306.0
Abington,2010,"Guidance, Counseling and Testing",289.0
Abington,2011,"Guidance, Counseling and Testing",433.0
Abington,2012,"Guidance, Counseling and Testing",477.0
Abington,2013,"Guidance, Counseling and Testing",375.0
Abington,2014,"Guidance, Counseling and Testing",341.0
Abington,2015,"Guidance, Counseling and Testing",336.0
Abington,2016,"Guidance, Counseling and Testing",355.0
Abington,2017,"Guidance, Counseling and Testing",380.0
Abington,2018,"Guidance, Counseling and Testing",386.0
Abington,2019,"Guidance, Counseling and Testing",471.0
Abington,2020,"Guidance, Counseling and Testing",480.0
Abington,2021,"Guidance, Counseling and Testing",495.0
Abington,2022,"Guidance, Counseling and Testing",534.0
Abington,2023,"Guidance, Counseling and Testing",587.0
Abington,2024,"Guidance, Counseling and Testing",611.0
Abington,2009,Other,439.0
Abington,2010,Other,576.0
Abington,2011,Other,613.0
Abington,2012,Other,570.0
Abington,2013,Other,639.0
Abington,2014,Other,734.0
Abington,2015,Other,676.0
Abington,2016,Other,1068.0
Abington,2017,Other,1138.0
Abington,2018,Other,865.0
Abington,2019,Other,676.0
Abington,2020,Other,461.0
Abington,2021,Other,812.0
Abington,2022,Other,675.0
Abington,2023,Other,483.0
Abington,2024,Other,435.0
Academy Of the Pacific Rim Charter Public (District),2019,Teachers,5174.0
Academy Of the Pacific Rim Charter Public (District),2020,Teachers,6146.0
Academy Of the Pacific Rim Charter Public (District),2021,Teachers,6501.0
Academy Of the Pacific Rim Charter Public (District),2022,Teachers,8577.0
Academy Of the Pacific Rim Charter Public (District),2023,Teachers,9926.0
Academy Of the Pacific Rim Charter Public (District),2024,Teachers,10131.0
Academy Of the Pacific Rim Charter Public (District),2019,"Insurance, Retirement and Other",4498.0
Academy Of the Pacific Rim Charter Public (District),2020,"Insurance, Retirement and Other",5167.0
Academy Of the Pacific Rim Charter Public (District),2021,"Insurance, Retirement and Other",5880.0
Academy Of the Pacific Rim Charter Public (District),2022,"Insurance, Retirement and Other",2012.0
Academy Of the Pacific Rim Charter Public (District),2023,"Insurance, Retirement and Other",2566.0
Academy Of the Pacific Rim Charter Public (District),2024,"Insurance, Retirement and Other",2472.0
Academy Of the Pacific Rim Charter Public (District),2019,Pupil Services,2466.0
Academy Of the Pacific Rim Charter Public (District),2020,Pupil Services,1697.0
Academy Of the Pacific Rim Charter Public (District),2021,Pupil Services,1061.0
Academy Of the Pacific Rim Charter Public (District),2022,Pupil Services,2737.0
Academy Of the Pacific Rim Charter Public (District),2023,Pupil Services,2755.0
Academy Of the Pacific Rim Charter Public (District),2024,Pupil Services,2473.0
Academy Of the Pacific Rim Charter Public (District),2019,Other Teaching Services,792.0
Academy Of the Pacific Rim Charter Public (District),2020,Other Teaching Services,1234.0
Academy Of the Pacific Rim Charter Public (District),2021,Other Teaching Services,840.0
Academy Of the Pacific Rim Charter Public (District),2022,Other Teaching Services,1017.0
Academy Of the Pacific Rim Charter Public (District),2023,Other Teaching Services,2329.0
Academy Of the Pacific Rim Charter Public (District),2024,Other Teaching Services,959.0
Academy Of the Pacific Rim Charter Public (District),2019,Operations and Maintenance,1164.0
Academy Of the Pacific Rim Charter Public (District),2020,Operations and Maintenance,768.0
Academy Of the Pacific Rim Charter Public (District),2021,Operations and Maintenance,1186.0
Academy Of the Pacific Rim Charter Public (District),2022,Operations and Maintenance,1330.0
Academy Of the Pacific Rim Charter Public (District),2023,Operations and Maintenance,1779.0
Academy Of the Pacific Rim Charter Public (District),2024,Operations and Maintenance,2188.0
Academy Of the Pacific Rim Charter Public (District),2019,Instructional Leadership,1652.0
Academy Of the Pacific Rim Charter Public (District),2020,Instructional Leadership,2054.0
Academy Of the Pacific Rim Charter Public (District),2021,Instructional Leadership,2153.0
Academy Of the Pacific Rim Charter Public (District),2022,Instructional Leadership,2411.0
Academy Of the Pacific Rim Charter Public (District),2023,Instructional Leadership,3225.0
Academy Of the Pacific Rim Charter Public (District),2024,Instructional Leadership,5144.0
Academy Of the Pacific Rim Charter Public (District),2019,Administration,2612.0
Academy Of the Pacific Rim Charter Public (District),2020,Administration,2035.0
Academy Of the Pacific Rim Charter Public (District),2021,Administration,2046.0
Academy Of the Pacific Rim Charter Public (District),2022,Administration,2300.0
Academy Of the Pacific Rim Charter Public (District),2023,Administration,1823.0
Academy Of the Pacific Rim Charter Public (District),2024,Administration,4093.0
Academy Of the Pacific Rim Charter Public (District),2019,"Guidance, Counseling and Testing",905.0
Academy Of the Pacific Rim Charter Public (District),2020,"Guidance, Counseling and Testing",667.0
Academy Of the Pacific Rim Charter Public (District),2021,"Guidance, Counseling and Testing",810.0
Academy Of the Pacific Rim Charter Public (District),2022,"Guidance, Counseling and Testing",1245.0
Academy Of the Pacific Rim Charter Public (District),2023,"Guidance, Counseling and Testing",1347.0
Academy Of the Pacific Rim Charter Public (District),2024,"Guidance, Counseling and Testing",612.0
Academy Of the Pacific Rim Charter Public (District),2019,Other,878.0
Academy Of the Pacific Rim Charter Public (District),2020,Other,820.0
Academy Of the Pacific Rim Charter Public (District),2021,Other,740.0
Academy Of the Pacific Rim Charter Public (District),2022,Other,1635.0
Academy Of the Pacific Rim Charter Public (District),2023,Other,1642.0
Academy Of the Pacific Rim Charter Public (District),2024,Other,1927.0
Acton,2009,Teachers,3940.0
Acton,2010,Teachers,4019.0
Acton,2011,Teachers,4108.0
Acton,2012,Teachers,4330.0
Acton,2013,Teachers,4571.0
Acton,2014,Teachers,4556.0
Acton,2009,"Insurance, Retirement and Other",1712.0
Acton,2010,"Insurance, Retirement and Other",1802.0
Acton,2011,"Insurance, Retirement and Other",1786.0
Acton,2012,"Insurance, Retirement and Other",1765.0
Acton,2013,"Insurance, Retirement and Other",1690.0
Acton,2014,"Insurance, Retirement and Other",1916.0
Acton,2009,Pupil Services,1052.0
Acton,2010,Pupil Services,1103.0
Acton,2011,Pupil Services,1065.0
Acton,2012,Pupil Services,1179.0
Acton,2013,Pupil Services,1215.0
Acton,2014,Pupil Services,1328.0
Acton,2009,Other Teaching Services,1266.0
Acton,2010,Other Teaching Services,1225.0
Acton,2011,Other Teaching Services,1254.0
Acton,2012,Other Teaching Services,1401.0
Acton,2013,Other Teaching Services,1467.0
Acton,2014,Other Teaching Services,1521.0
Acton,2009,Operations and Maintenance,861.0
Acton,2010,Operations and Maintenance,782.0
Acton,2011,Operations and Maintenance,835.0
Acton,2012,Operations and Maintenance,739.0
Acton,2013,Operations and Maintenance,765.0
Acton,2014,Operations and Maintenance,750.0
Acton,2009,Instructional Leadership,547.0
Acton,2010,Instructional Leadership,562.0
Acton,2011,Instructional Leadership,625.0
Acton,2012,Instructional Leadership,702.0
Acton,2013,Instructional Leadership,735.0
Acton,2014,Instructional Leadership,778.0
Acton,2009,Administration,515.0
Acton,2010,Administration,523.0
Acton,2011,Administration,441.0
Acton,2012,Administration,490.0
Acton,2013,Administration,531.0
Acton,2014,Administration,602.0
Acton,2009,"Guidance, Counseling and Testing",197.0
Acton,2010,"Guidance, Counseling and Testing",198.0
Acton,2011,"Guidance, Counseling and Testing",208.0
Acton,2012,"Guidance, Counseling and Testing",211.0
Acton,2013,"Guidance, Counseling and Testing",214.0
Acton,2014,"Guidance, Counseling and Testing",250.0
Acton,2009,Other,313.0
Acton,2010,Other,355.0
Acton,2011,Other,537.0
Acton,2012,Other,365.0
Acton,2013,Other,351.0
Acton,2014,Other,364.0
Acton-Boxborough,2009,Teachers,4268.0
Acton-Boxborough,2010,Teachers,4541.0
Acton-Boxborough,2011,Teachers,4457.0
Acton-Boxborough,2012,Teachers,4787.0
Acton-Boxborough,2013,Teachers,4840.0
Acton-Boxborough,2014,Teachers,5051.0
Acton-Boxborough,2015,Teachers,5171.0
Acton-Boxborough,2016,Teachers,5238.0
Acton-Boxborough,2017,Teachers,5452.0
Acton-Boxborough,2018,Teachers,5595.0
Acton-Boxborough,2019,Teachers,5888.0
Acton-Boxborough,2020,Teachers,6286.0
Acton-Boxborough,2021,Teachers,7075.0
Acton-Boxborough,2022,Teachers,7143.0
Acton-Boxborough,2023,Teachers,7431.0
Acton-Boxborough,2024,Teachers,7718.0
Acton-Boxborough,2009,"Insurance, Retirement and Other",1943.0
Acton-Boxborough,2010,"Insurance, Retirement and Other",2042.0
Acton-Boxborough,2011,"Insurance, Retirement and Other",2186.0
Acton-Boxborough,2012,"Insurance, Retirement and Other",2050.0
Acton-Boxborough,2013,"Insurance, Retirement and Other",1986.0
Acton-Boxborough,2014,"Insurance, Retirement and Other",2265.0
Acton-Boxborough,2015,"Insurance, Retirement and Other",1986.0
Acton-Boxborough,2016,"Insurance, Retirement and Other",2257.0
Acton-Boxborough,2017,"Insurance, Retirement and Other",2309.0
Acton-Boxborough,2018,"Insurance, Retirement and Other",2362.0
Acton-Boxborough,2019,"Insurance, Retirement and Other",2369.0
Acton-Boxborough,2020,"Insurance, Retirement and Other",2399.0
Acton-Boxborough,2021,"Insurance, Retirement and Other",2708.0
Acton-Boxborough,2022,"Insurance, Retirement and Other",2892.0
Acton-Boxborough,2023,"Insurance, Retirement and Other",3098.0
Acton-Boxborough,2024,"Insurance, Retirement and Other",3853.0
Acton-Boxborough,2009,Pupil Services,1565.0
Acton-Boxborough,2010,Pupil Services,1607.0
Acton-Boxborough,2011,Pupil Services,1672.0
Acton-Boxborough,2012,Pupil Services,1768.0
Acton-Boxborough,2013,Pupil Services,1685.0
Acton-Boxborough,2014,Pupil Services,2081.0
Acton-Boxborough,2015,Pupil Services,1487.0
Acton-Boxborough,2016,Pupil Services,1403.0
Acton-Boxborough,2017,Pupil Services,1399.0
Acton-Boxborough,2018,Pupil Services,1438.0
Acton-Boxborough,2019,Pupil Services,1635.0
Acton-Boxborough,2020,Pupil Services,1734.0
Acton-Boxborough,2021,Pupil Services,1690.0
Acton-Boxborough,2022,Pupil Services,2012.0
Acton-Boxborough,2023,Pupil Services,2305.0
Acton-Boxborough,2024,Pupil Services,2782.0
Acton-Boxborough,2009,Other Teaching Services,695.0
Acton-Boxborough,2010,Other Teaching Services,614.0
Acton-Boxborough,2011,Other Teaching Services,646.0
Acton-Boxborough,2012,Other Teaching Services,611.0
Acton-Boxborough,2013,Other Teaching Services,711.0
Acton-Boxborough,2014,Other Teaching Services,793.0
Acton-Boxborough,2015,Other Teaching Services,1097.0
Acton-Boxborough,2016,Other Teaching Services,1334.0
Acton-Boxborough,2017,Other Teaching Services,1387.0
Acton-Boxborough,2018,Other Teaching Services,1490.0
Acton-Boxborough,2019,Other Teaching Services,1596.0
Acton-Boxborough,2020,Other Teaching Services,1736.0
Acton-Boxborough,2021,Other Teaching Services,1601.0
Acton-Boxborough,2022,Other Teaching Services,1734.0
Acton-Boxborough,2023,Other Teaching Services,1881.0
Acton-Boxborough,2024,Other Teaching Services,2007.0
Acton-Boxborough,2009,Operations and Maintenance,1145.0
Acton-Boxborough,2010,Operations and Maintenance,1088.0
Acton-Boxborough,2011,Operations and Maintenance,1103.0
Acton-Boxborough,2012,Operations and Maintenance,1131.0
Acton-Boxborough,2013,Operations and Maintenance,1128.0
Acton-Boxborough,2014,Operations and Maintenance,1062.0
Acton-Boxborough,2015,Operations and Maintenance,873.0
Acton-Boxborough,2016,Operations and Maintenance,895.0
Acton-Boxborough,2017,Operations and Maintenance,953.0
Acton-Boxborough,2018,Operations and Maintenance,968.0
Acton-Boxborough,2019,Operations and Maintenance,1094.0
Acton-Boxborough,2020,Operations and Maintenance,1059.0
Acton-Boxborough,2021,Operations and Maintenance,1179.0
Acton-Boxborough,2022,Operations and Maintenance,1190.0
Acton-Boxborough,2023,Operations and Maintenance,1260.0
Acton-Boxborough,2024,Operations and Maintenance,1342.0
Acton-Boxborough,2009,Instructional Leadership,773.0
Acton-Boxborough,2010,Instructional Leadership,822.0
Acton-Boxborough,2011,Instructional Leadership,842.0
Acton-Boxborough,2012,Instructional Leadership,906.0
Acton-Boxborough,2013,Instructional Leadership,924.0
Acton-Boxborough,2014,Instructional Leadership,865.0
Acton-Boxborough,2015,Instructional Leadership,921.0
Acton-Boxborough,2016,Instructional Leadership,906.0
Acton-Boxborough,2017,Instructional Leadership,944.0
Acton-Boxborough,2018,Instructional Leadership,952.0
Acton-Boxborough,2019,Instructional Leadership,1048.0
Acton-Boxborough,2020,Instructional Leadership,1165.0
Acton-Boxborough,2021,Instructional Leadership,1275.0
Acton-Boxborough,2022,Instructional Leadership,1291.0
Acton-Boxborough,2023,Instructional Leadership,1331.0
Acton-Boxborough,2024,Instructional Leadership,1353.0
Acton-Boxborough,2009,Administration,449.0
Acton-Boxborough,2010,Administration,458.0
Acton-Boxborough,2011,Administration,357.0
Acton-Boxborough,2012,Administration,435.0
Acton-Boxborough,2013,Administration,495.0
Acton-Boxborough,2014,Administration,593.0
Acton-Boxborough,2015,Administration,452.0
Acton-Boxborough,2016,Administration,475.0
Acton-Boxborough,2017,Administration,528.0
Acton-Boxborough,2018,Administration,550.0
Acton-Boxborough,2019,Administration,432.0
Acton-Boxborough,2020,Administration,450.0
Acton-Boxborough,2021,Administration,498.0
Acton-Boxborough,2022,Administration,544.0
Acton-Boxborough,2023,Administration,536.0
Acton-Boxborough,2024,Administration,524.0
Acton-Boxborough,2009,"Guidance, Counseling and Testing",410.0
Acton-Boxborough,2010,"Guidance, Counseling and Testing",424.0
Acton-Boxborough,2011,"Guidance, Counseling and Testing",449.0
Acton-Boxborough,2012,"Guidance, Counseling and Testing",496.0
Acton-Boxborough,2013,"Guidance, Counseling and Testing",554.0
Acton-Boxborough,2014,"Guidance, Counseling and Testing",559.0
Acton-Boxborough,2015,"Guidance, Counseling and Testing",480.0
Acton-Boxborough,2016,"Guidance, Counseling and Testing",510.0
Acton-Boxborough,2017,"Guidance, Counseling and Testing",524.0
Acton-Boxborough,2018,"Guidance, Counseling and Testing",580.0
Acton-Boxborough,2019,"Guidance, Counseling and Testing",598.0
Acton-Boxborough,2020,"Guidance, Counseling and Testing",674.0
Acton-Boxborough,2021,"Guidance, Counseling and Testing",757.0
Acton-Boxborough,2022,"Guidance, Counseling and Testing",766.0
Acton-Boxborough,2023,"Guidance, Counseling and Testing",872.0
Acton-Boxborough,2024,"Guidance, Counseling and Testing",892.0
Acton-Boxborough,2009,Other,285.0
Acton-Boxborough,2010,Other,281.0
Acton-Boxborough,2011,Other,337.0
Acton-Boxborough,2012,Other,280.0
Acton-Boxborough,2013,Other,337.0
Acton-Boxborough,2014,Other,335.0
Acton-Boxborough,2015,Other,399.0
Acton-Boxborough,2016,Other,376.0
Acton-Boxborough,2017,Other,406.0
Acton-Boxborough,2018,Other,445.0
Acton-Boxborough,2019,Other,452.0
Acton-Boxborough,2020,Other,423.0
Acton-Boxborough,2021,Other,667.0
Acton-Boxborough,2022,Other,484.0
Acton-Boxborough,2023,Other,695.0
Acton-Boxborough,2024,Other,481.0
Acushnet,2009,Teachers,3662.0
Acushnet,2010,Teachers,3825.0
Acushnet,2011,Teachers,4105.0
Acushnet,2012,Teachers,4374.0
Acushnet,2013,Teachers,4415.0
Acushnet,2014,Teachers,4418.0
Acushnet,2015,Teachers,4658.0
Acushnet,2016,Teachers,4883.0
Acushnet,2017,Teachers,5179.0
Acushnet,2018,Teachers,5254.0
Acushnet,2019,Teachers,5125.0
Acushnet,2020,Teachers,5078.0
Acushnet,2021,Teachers,5660.0
Acushnet,2022,Teachers,5958.0
Acushnet,2023,Teachers,6208.0
Acushnet,2024,Teachers,6083.0
Acushnet,2009,"Insurance, Retirement and Other",1084.0
Acushnet,2010,"Insurance, Retirement and Other",1193.0
Acushnet,2011,"Insurance, Retirement and Other",1209.0
Acushnet,2012,"Insurance, Retirement and Other",1290.0
Acushnet,2013,"Insurance, Retirement and Other",1249.0
Acushnet,2014,"Insurance, Retirement and Other",1260.0
Acushnet,2015,"Insurance, Retirement and Other",1303.0
Acushnet,2016,"Insurance, Retirement and Other",1357.0
Acushnet,2017,"Insurance, Retirement and Other",1451.0
Acushnet,2018,"Insurance, Retirement and Other",1513.0
Acushnet,2019,"Insurance, Retirement and Other",1601.0
Acushnet,2020,"Insurance, Retirement and Other",1541.0
Acushnet,2021,"Insurance, Retirement and Other",1823.0
Acushnet,2022,"Insurance, Retirement and Other",1663.0
Acushnet,2023,"Insurance, Retirement and Other",1708.0
Acushnet,2024,"Insurance, Retirement and Other",1933.0
Acushnet,2009,Pupil Services,1091.0
Acushnet,2010,Pupil Services,1175.0
Acushnet,2011,Pupil Services,1146.0
Acushnet,2012,Pupil Services,1167.0
Acushnet,2013,Pupil Services,1150.0
Acushnet,2014,Pupil Services,1281.0
Acushnet,2015,Pupil Services,1361.0
Acushnet,2016,Pupil Services,1446.0
Acushnet,2017,Pupil Services,1462.0
Acushnet,2018,Pupil Services,1476.0
Acushnet,2019,Pupil Services,1440.0
Acushnet,2020,Pupil Services,1194.0
Acushnet,2021,Pupil Services,1522.0
Acushnet,2022,Pupil Services,1497.0
Acushnet,2023,Pupil Services,1617.0
Acushnet,2024,Pupil Services,1900.0
Acushnet,2009,Other Teaching Services,919.0
Acushnet,2010,Other Teaching Services,948.0
Acushnet,2011,Other Teaching Services,958.0
Acushnet,2012,Other Teaching Services,1041.0
Acushnet,2013,Other Teaching Services,1052.0
Acushnet,2014,Other Teaching Services,1013.0
Acushnet,2015,Other Teaching Services,1010.0
Acushnet,2016,Other Teaching Services,980.0
Acushnet,2017,Other Teaching Services,1178.0
Acushnet,2018,Other Teaching Services,1236.0
Acushnet,2019,Other Teaching Services,1170.0
Acushnet,2020,Other Teaching Services,1113.0
Acushnet,2021,Other Teaching Services,1330.0
Acushnet,2022,Other Teaching Services,1138.0
Acushnet,2023,Other Teaching Services,1334.0
Acushnet,2024,Other Teaching Services,1482.0
Acushnet,2009,Operations and Maintenance,649.0
Acushnet,2010,Operations and Maintenance,769.0
Acushnet,2011,Operations and Maintenance,824.0
Acushnet,2012,Operations and Maintenance,870.0
Acushnet,2013,Operations and Maintenance,756.0
Acushnet,2014,Operations and Maintenance,846.0
Acushnet,2015,Operations and Maintenance,855.0
Acushnet,2016,Operations and Maintenance,859.0
Acushnet,2017,Operations and Maintenance,834.0
Acushnet,2018,Operations and Maintenance,837.0
Acushnet,2019,Operations and Maintenance,1016.0
Acushnet,2020,Operations and Maintenance,952.0
Acushnet,2021,Operations and Maintenance,1598.0
Acushnet,2022,Operations and Maintenance,1531.0
Acushnet,2023,Operations and Maintenance,1216.0
Acushnet,2024,Operations and Maintenance,1858.0
Acushnet,2009,Instructional Leadership,495.0
Acushnet,2010,Instructional Leadership,531.0
Acushnet,2011,Instructional Leadership,619.0
Acushnet,2012,Instructional Leadership,642.0
Acushnet,2013,Instructional Leadership,660.0
Acushnet,2014,Instructional Leadership,695.0
Acushnet,2015,Instructional Leadership,735.0
Acushnet,2016,Instructional Leadership,768.0
Acushnet,2017,Instructional Leadership,799.0
Acushnet,2018,Instructional Leadership,816.0
Acushnet,2019,Instructional Leadership,850.0
Acushnet,2020,Instructional Leadership,841.0
Acushnet,2021,Instructional Leadership,980.0
Acushnet,2022,Instructional Leadership,1051.0
Acushnet,2023,Instructional Leadership,1004.0
Acushnet,2024,Instructional Leadership,993.0
Acushnet,2009,Administration,482.0
Acushnet,2010,Administration,511.0
Acushnet,2011,Administration,436.0
Acushnet,2012,Administration,435.0
Acushnet,2013,Administration,470.0
Acushnet,2014,Administration,473.0
Acushnet,2015,Administration,489.0
Acushnet,2016,Administration,513.0
Acushnet,2017,Administration,542.0
Acushnet,2018,Administration,556.0
Acushnet,2019,Administration,543.0
Acushnet,2020,Administration,589.0
Acushnet,2021,Administration,644.0
Acushnet,2022,Administration,658.0
Acushnet,2023,Administration,623.0
Acushnet,2024,Administration,777.0
