Year,Cohort,District,FTE_In_District,FTE_Out_District,FTE_Foundation,Teachers_PPE,"Insurance, Retirement and Other_PPE",Pupil Services_PPE,Other Teaching Services_PPE,Operations and Maintenance_PPE,Instructional Leadership_PPE,Administration_PPE,"Guidance, Counseling and Testing_PPE",Other_PPE,Ch70 Aid,Req NSS (minus Ch70),Actual NSS (minus Req NSS)
2009,Medium,Amherst-Pelham,,,,5491.0,3305.0,1645.0,1199.0,1459.0,1289.0,652.0,525.0,646.0,5487.857856746252,4382.675180455302,3406.991116046641
2009,Medium,Athol-Royalston,,,,4463.0,2180.0,1508.0,1084.0,1100.0,822.0,414.0,313.0,454.0,8761.455938697318,0.0,721.4238505747127
2009,Medium,Berkshire Hills,,,,6237.0,2929.0,1780.0,926.0,1317.0,948.0,737.0,504.0,361.0,,,
2009,Medium,Easthampton,,,,4561.0,1988.0,953.0,641.0,1085.0,628.0,467.0,422.0,336.0,4314.391856160762,4175.682707562137,1428.832538301733
2009,Medium,Gateway,,,,4133.0,2129.0,1884.0,1136.0,1350.0,1059.0,695.0,396.0,631.0,4626.221792890263,3886.21483771252,2002.2387944358577
2009,Medium,Gill-Montague,,,,4761.0,2966.0,1562.0,1307.0,1440.0,1158.0,661.0,528.0,758.0,5564.898788927335,3894.206747404845,3874.84169550173
2009,Medium,Granby,,,,4125.0,1199.0,1335.0,703.0,715.0,576.0,373.0,655.0,224.0,4481.508522727273,3603.851325757576,903.378029702196
2009,Medium,Greenfield,,,,4768.0,3790.0,1454.0,1020.0,1825.0,900.0,536.0,62.0,615.0,4984.499743983615,4118.800307219663,1886.326842172496
2009,Medium,Hoosac Valley Regional,,,,4227.0,2524.0,1260.0,732.0,916.0,582.0,367.0,401.0,439.0,,,
2009,Medium,Mohawk Trail,,,,4897.0,2552.0,1883.0,1746.0,1331.0,1151.0,561.0,418.0,456.0,,,
2009,Medium,Monson,,,,3548.0,1493.0,1168.0,1073.0,841.0,739.0,305.0,275.0,697.0,5098.306878306878,2829.6858465608466,368.8658978383097
2009,Medium,North Adams,,,,5931.0,2929.0,1407.0,918.0,1268.0,1600.0,503.0,388.0,172.0,,,
