District,Metric_Type,Category,Latest_Year,Latest_Value,Year_5yr,Value_5yr,Year_10yr,Value_10yr,Start_Year,Start_Value,CAGR_5yr,CAGR_10yr,CAGR_15yr
Littleton,Enrollment,Out-of-District FTE Pupils,2024,94.8,2019,137.3,2014,124.5,2009,135.8,-0.07140239328352205,-0.026885601429237016,-0.023676136632681977
Littleton,NSS,Ch70 Aid,2024,2912.285885885886,2019,2491.602996254682,2014,2428.0497777789797,2009,1885.875,0.03169430256663808,0.018351346436167315,0.029393464901463995
Littleton,NSS,Req NSS (minus Ch70),2024,9133.93153153153,2019,7822.760299625468,2014,7368.400130123618,2009,6316.36875,0.03147699354070177,0.021711907842531186,0.024894946418035246
Littleton,NSS,Actual NSS (minus Req NSS),2024,5509.578620300301,2019,4935.396681519062,2014,3126.784190122855,2009,2416.788500000001,0.022255048407895828,0.05828355547048569,0.05647360057582951
Littleton,NSS,Total Actual NSS per pupil,2024,17555.796037717715,2019,15249.759977399211,2014,12923.234098025452,2009,10619.03225,0.028564435414549783,0.031109840279211376,0.034083731624701796
Littleton,Enrollment,Foundation Enrollment,2024,1665.0,2019,1602.0,2014,1537.0,2009,1600.0,0.007744288030849145,0.008031345495686182,0.0026582932915504287
Longmeadow,Expenditure,Teachers,2024,7392.0,2019,6490.0,2014,5393.0,2009,4843.0,0.026368825015939956,0.032031976746101254,0.028592056189774784
Longmeadow,Expenditure,"Insurance, Retirement and Other",2024,2768.0,2019,2193.0,2014,1595.0,2009,1422.0,0.04767237072076669,0.056672828034822764,0.045404662280027264
Longmeadow,Expenditure,Pupil Services,2024,1401.0,2019,1013.0,2014,866.0,2009,715.0,0.06700323952153542,0.04928152051622359,0.04586462281967152
Longmeadow,Expenditure,Other Teaching Services,2024,1656.0,2019,1518.0,2014,1226.0,2009,1012.0,0.017554577175587616,0.03052133208246377,0.03337667518746934
Longmeadow,Expenditure,Operations and Maintenance,2024,1613.0,2019,1467.0,2014,1067.0,2009,1142.0,0.019156434371699893,0.04219022336501621,0.02328800707959844
Longmeadow,Expenditure,Instructional Leadership,2024,931.0,2019,774.0,2014,778.0,2009,626.0,0.03762814706371098,0.01811540415162538,0.026813783578767847
Longmeadow,Expenditure,Administration,2024,655.0,2019,592.0,2014,572.0,2009,467.0,0.02043164601788483,0.013641836595987611,0.022809990175711503
Longmeadow,Expenditure,"Guidance, Counseling and Testing",2024,715.0,2019,533.0,2014,487.0,2009,497.0,0.06051243834129849,0.03914872255103341,0.024542496195056884
Longmeadow,Expenditure,Other,2024,579.0,2019,532.0,2014,813.0,2009,612.0,0.0170759529857758,-0.03337326697954135,-0.003688501035531644
Longmeadow,Expenditure,Total PPE,2024,17710.0,2019,15112.0,2014,12797.0,2009,11336.0,0.03223676512764473,0.033025492891466834,0.030189806370203298
Longmeadow,Enrollment,In-District FTE Pupils,2024,2776.9,2019,2858.2,2014,2836.8,2009,3111.0,-0.005754749322138486,-0.0021318702042864013,-0.0075453247203807194
Longmeadow,Enrollment,Out-of-District FTE Pupils,2024,49.6,2019,62.1,2014,60.7,2009,52.6,-0.043955702819847065,-0.019992727506634722,-0.003907365371748739
Longmeadow,NSS,Ch70 Aid,2024,2605.273027522936,2019,1841.6193977591035,2014,1534.4626652375848,2009,1463.8169200264376,0.07184175735233822,0.054361870058108996,0.039180763203012337
Longmeadow,NSS,Req NSS (minus Ch70),2024,9575.534678899083,2019,7936.824579831933,2014,7953.939264022865,2009,6872.062128222075,0.03825313317508727,0.01872760894257186,0.022362858900885962
Longmeadow,NSS,Actual NSS (minus Req NSS),2024,5252.861193577981,2019,4708.119895188036,2014,3058.8135983518387,2009,2505.5538811760316,0.022138347928061686,0.055563322031911166,0.05058890950416828
Longmeadow,NSS,Total Actual NSS per pupil,2024,17433.6689,2019,14486.563872779072,2014,12547.215527612288,2009,10841.432929424544,0.03773073967403495,0.03343732619572859,0.032175327512271146
Longmeadow,Enrollment,Foundation Enrollment,2024,2725.0,2019,2856.0,2014,2799.0,2009,3026.0,-0.009346768128439487,-0.00267579191168954,-0.006960541579657087
Lowell,Expenditure,Teachers,2024,7394.0,2019,5505.0,2014,5671.0,2009,5763.0,0.06077780576988201,0.026885401617521953,0.016752826635489493
Lowell,Expenditure,"Insurance, Retirement and Other",2024,3588.0,2019,2730.0,2014,2262.0,2009,2324.0,0.05618004403862731,0.04721531126157452,0.029376906127045244
Lowell,Expenditure,Pupil Services,2024,2410.0,2019,1711.0,2014,1377.0,2009,1093.0,0.07091106683824311,0.05756802147302942,0.054127456438651356
Lowell,Expenditure,Other Teaching Services,2024,2341.0,2019,1358.0,2014,1135.0,2009,1181.0,0.11506537097927683,0.07507943702610964,0.04667078234342692
Lowell,Expenditure,Operations and Maintenance,2024,1561.0,2019,747.0,2014,727.0,2009,737.0,0.1588212759527372,0.07941102407188616,0.05130572079286999
Lowell,Expenditure,Instructional Leadership,2024,1689.0,2019,886.0,2014,939.0,2009,857.0,0.137729936326485,0.060465161808205936,0.0462687528661645
Lowell,Expenditure,Administration,2024,587.0,2019,312.0,2014,436.0,2009,335.0,0.1347408812415649,0.030184855654729947,0.0381008650661907
Lowell,Expenditure,"Guidance, Counseling and Testing",2024,662.0,2019,523.0,2014,310.0,2009,299.0,0.0482654212396143,0.0788215908471106,0.054417131401577556
Lowell,Expenditure,Other,2024,1980.0,2019,955.0,2014,536.0,2009,393.0,0.1569973486565832,0.13959370101534474,0.11382811483635802
Lowell,Expenditure,Total PPE,2024,22212.0,2019,14727.0,2014,13393.0,2009,12982.0,0.08566209634649269,0.051891582029681915,0.03645329687097543
Lowell,Enrollment,In-District FTE Pupils,2024,14517.8,2019,14618.8,2014,13829.7,2009,13444.6,-0.0013856169140005203,0.00486751095964344,0.0051329918497586835
Lowell,Enrollment,Out-of-District FTE Pupils,2024,2616.1,2019,2159.5,2014,1392.5,2009,1212.2,0.03910689473465401,0.06508903503033592,0.05262093709349425
Lowell,NSS,Ch70 Aid,2024,14037.791643692948,2019,9326.216201186357,2014,8904.667672059226,2009,8354.12787456446,0.08522218304574802,0.0465695809647384,0.035205359001292846
Lowell,NSS,Req NSS (minus Ch70),2024,3681.7971573852847,2019,2928.8707983193276,2014,2926.4083911830025,2009,1518.4600735409542,0.04681980080869552,0.023228180551537525,0.06082504736873284
Lowell,NSS,Actual NSS (minus Req NSS),2024,293.66389907820655,2019,302.94990604921986,2014,-255.6685416050478,2009,280.00230746796115,-0.006206967155419796,0.21486117816240893,0.0031809196807626172
Lowell,NSS,Total Actual NSS per pupil,2024,18013.252700156438,2019,12558.036905554904,2014,11575.40752163718,2009,10152.590255573376,0.07481588734171818,0.045214883237644,0.038965242279109136
Lowell,Enrollment,Foundation Enrollment,2024,16323.0,2019,16184.0,2014,14588.0,2009,14350.0,0.0017118748489588498,0.011300967204302292,0.008625333261069512
Lowell Community Charter Public (District),Expenditure,Teachers,2024,7432.0,2019,5791.0,2014,,2009,,0.051163874982064206,,
Lowell Community Charter Public (District),Expenditure,"Insurance, Retirement and Other",2024,5460.0,2019,3812.0,2014,,2009,,0.07450378621430875,,
Lowell Community Charter Public (District),Expenditure,Pupil Services,2024,3048.0,2019,1740.0,2014,,2009,,0.1186472076099403,,
Lowell Community Charter Public (District),Expenditure,Other Teaching Services,2024,1883.0,2019,547.0,2014,,2009,,0.28047940791954695,,
Lowell Community Charter Public (District),Expenditure,Operations and Maintenance,2024,1603.0,2019,1161.0,2014,,2009,,0.0666458807836059,,
Lowell Community Charter Public (District),Expenditure,Instructional Leadership,2024,1730.0,2019,887.0,2014,,2009,,0.14294280139500426,,
Lowell Community Charter Public (District),Expenditure,Administration,2024,1381.0,2019,1602.0,2014,,2009,,-0.029252605949096178,,
Lowell Community Charter Public (District),Expenditure,"Guidance, Counseling and Testing",2024,457.0,2019,445.0,2014,,2009,,0.005336007792979602,,
Lowell Community Charter Public (District),Expenditure,Other,2024,1294.0,2019,457.0,2014,,2009,,0.2314126629679596,,
Lowell Community Charter Public (District),Expenditure,Total PPE,2024,24288.0,2019,16442.0,2014,,2009,,0.08115365803276586,,
Lowell Community Charter Public (District),Enrollment,In-District FTE Pupils,2024,813.5,2019,810.3,2014,,2009,,0.0007885862092182894,,
Lowell Community Charter Public (District),Enrollment,Out-of-District FTE Pupils,2024,0.0,2019,0.0,2014,,2009,,,,
Lowell Middlesex Academy Charter (District),Expenditure,Teachers,2024,7574.0,2019,9247.0,2014,,2009,,-0.039129437032177194,,
Lowell Middlesex Academy Charter (District),Expenditure,"Insurance, Retirement and Other",2024,1493.0,2019,4387.0,2014,,2009,,-0.19391946388206982,,
Lowell Middlesex Academy Charter (District),Expenditure,Pupil Services,2024,1261.0,2019,1081.0,2014,,2009,,0.031283046934079906,,
Lowell Middlesex Academy Charter (District),Expenditure,Other Teaching Services,2024,395.0,2019,0.0,2014,,2009,,,,
Lowell Middlesex Academy Charter (District),Expenditure,Operations and Maintenance,2024,1240.0,2019,1116.0,2014,,2009,,0.021295687600135116,,
Lowell Middlesex Academy Charter (District),Expenditure,Instructional Leadership,2024,2414.0,2019,2756.0,2014,,2009,,-0.026151027205712496,,
Lowell Middlesex Academy Charter (District),Expenditure,Administration,2024,2278.0,2019,3152.0,2014,,2009,,-0.06288367795774819,,
Lowell Middlesex Academy Charter (District),Expenditure,"Guidance, Counseling and Testing",2024,68.0,2019,189.0,2014,,2009,,-0.1849027616315414,,
Lowell Middlesex Academy Charter (District),Expenditure,Other,2024,1530.0,2019,778.0,2014,,2009,,0.1448335989781191,,
Lowell Middlesex Academy Charter (District),Expenditure,Total PPE,2024,18253.0,2019,22706.0,2014,,2009,,-0.04272057627465509,,
Lowell Middlesex Academy Charter (District),Enrollment,In-District FTE Pupils,2024,112.0,2019,89.7,2014,,2009,,0.045406307073392105,,
Lowell Middlesex Academy Charter (District),Enrollment,Out-of-District FTE Pupils,2024,0.0,2019,0.0,2014,,2009,,,,
Ludlow,Expenditure,Teachers,2024,7279.0,2019,6165.0,2014,4623.0,2009,4184.0,0.03377905224443101,0.04644108539232272,0.03760487348528185
Ludlow,Expenditure,"Insurance, Retirement and Other",2024,4166.0,2019,3530.0,2014,2626.0,2009,1837.0,0.03368666100047979,0.04723091493366627,0.0561055881955379
Ludlow,Expenditure,Pupil Services,2024,1927.0,2019,1552.0,2014,1288.0,2009,1222.0,0.04423440856489469,0.04110992139341185,0.030830754840081687
Ludlow,Expenditure,Other Teaching Services,2024,1815.0,2019,1636.0,2014,1138.0,2009,917.0,0.020983364701464557,0.04778803965055167,0.04656728031398094
Ludlow,Expenditure,Operations and Maintenance,2024,1477.0,2019,991.0,2014,868.0,2009,754.0,0.08308207460583716,0.05459589621439398,0.04584488481290783
Ludlow,Expenditure,Instructional Leadership,2024,1659.0,2019,1198.0,2014,802.0,2009,732.0,0.0672788755299627,0.07539299146784728,0.05606103835053844
Ludlow,Expenditure,Administration,2024,625.0,2019,485.0,2014,462.0,2009,353.0,0.05202886458735079,0.03067989413007055,0.03882012387743061
Ludlow,Expenditure,"Guidance, Counseling and Testing",2024,529.0,2019,453.0,2014,416.0,2009,306.0,0.03150537180386648,0.024321371934504787,0.03716761979011873
Ludlow,Expenditure,Other,2024,451.0,2019,762.0,2014,479.0,2009,383.0,-0.09958169764181246,-0.00600522193075248,0.010955062031703156
Ludlow,Expenditure,Total PPE,2024,19928.0,2019,16772.0,2014,12702.0,2009,10688.0,0.0350844211611685,0.04606617834527471,0.04240819737813917
Ludlow,Enrollment,In-District FTE Pupils,2024,2251.0,2019,2562.1,2014,2776.6,2009,3051.2,-0.025558248533093186,-0.020766601214964986,-0.020073156502189438
Ludlow,Enrollment,Out-of-District FTE Pupils,2024,125.6,2019,118.2,2014,93.9,2009,89.3,0.012218877720791665,0.029514350605539752,0.023000577081917273
Ludlow,NSS,Ch70 Aid,2024,6431.947953736655,2019,5338.401945525292,2014,4668.788400702988,2009,4194.614545454546,0.037973462687710846,0.03255651921624936,0.02890836380158457
Ludlow,NSS,Req NSS (minus Ch70),2024,8082.194395017794,2019,6132.464591439689,2014,5189.701933216169,2009,4042.635041322314,0.05676604024769749,0.04529455390589776,0.04726755828610529
Ludlow,NSS,Actual NSS (minus Req NSS),2024,5026.9640335364775,2019,3800.4688632563684,2014,1489.8519828699543,2009,1317.8433114917466,0.057532492429323456,0.12931803934347186,0.09335903998952166
Ludlow,NSS,Total Actual NSS per pupil,2024,19541.106382290927,2019,15271.33540022135,2014,11348.34231678911,2009,9555.092898268605,0.05054443540086706,0.05584865771361747,0.04885217310454082
Ludlow,Enrollment,Foundation Enrollment,2024,2248.0,2019,2570.0,2014,2845.0,2009,3025.0,-0.02641777394392475,-0.023277024841052985,-0.019596780983909046
Lunenburg,Expenditure,Teachers,2024,7133.0,2019,5205.0,2014,4787.0,2009,4189.0,0.06505073896351177,0.04068879757718369,0.036121751227399024
Lunenburg,Expenditure,"Insurance, Retirement and Other",2024,2082.0,2019,2843.0,2014,2112.0,2009,1693.0,-0.0604048354490061,-0.0014296166881886396,0.01388395701120082
Lunenburg,Expenditure,Pupil Services,2024,978.0,2019,1212.0,2014,1031.0,2009,1022.0,-0.04199616637102177,-0.005263579958873721,-0.0029295073099033786
Lunenburg,Expenditure,Other Teaching Services,2024,2092.0,2019,1322.0,2014,1014.0,2009,955.0,0.09614004752889449,0.0751086907073828,0.053668234258555936
Lunenburg,Expenditure,Operations and Maintenance,2024,1472.0,2019,967.0,2014,918.0,2009,872.0,0.08766778894785077,0.048350515010159745,0.03552221844945169
Lunenburg,Expenditure,Instructional Leadership,2024,1080.0,2019,751.0,2014,673.0,2009,765.0,0.07536714517938847,0.04843345139238009,0.023255657935725038
Lunenburg,Expenditure,Administration,2024,733.0,2019,571.0,2014,398.0,2009,333.0,0.05121989908679403,0.06297264968119554,0.05400818329610457
Lunenburg,Expenditure,"Guidance, Counseling and Testing",2024,1001.0,2019,456.0,2014,372.0,2009,317.0,0.1702909509963657,0.10405094486823896,0.07967154192126702
Lunenburg,Expenditure,Other,2024,459.0,2019,223.0,2014,217.0,2009,212.0,0.1553180658137161,0.07779284249919871,0.05284665492205387
Lunenburg,Expenditure,Total PPE,2024,17030.0,2019,13550.0,2014,11522.0,2009,10358.0,0.04677916658008918,0.03984516715721109,0.03370333181262519
Lunenburg,Enrollment,In-District FTE Pupils,2024,1580.5,2019,1654.0,2014,1565.6,2009,1750.0,-0.009049869961401003,0.0009476603039226816,-0.006768624650149713
Lunenburg,Enrollment,Out-of-District FTE Pupils,2024,99.9,2019,130.4,2014,139.5,2009,83.8,-0.05189250591245054,-0.032838215134520565,0.011784677081651651
Lunenburg,NSS,Ch70 Aid,2024,5460.760371517028,2019,4392.815850815851,2014,3332.1069763737164,2009,2815.837903717246,0.04448455965336451,0.05063875916884042,0.04514456045572435
Lunenburg,NSS,Req NSS (minus Ch70),2024,7375.2235294117645,2019,5640.251165501166,2014,5870.120099564406,2009,5240.016453382084,0.05510419246951814,0.02308759788195447,0.02304837322196507
Lunenburg,NSS,Actual NSS (minus Req NSS),2024,2051.6022958104086,2019,2810.0639728715228,2014,1794.7803997955104,2009,1179.8165752589885,-0.06097880743175099,0.013463671942032018,0.03757280164848331
Lunenburg,NSS,Total Actual NSS per pupil,2024,14887.586196739201,2019,12843.130989188541,2014,10997.007475733633,2009,9235.670932358318,0.029984467363657563,0.030753876695471805,0.032342299369026994
Lunenburg,Enrollment,Foundation Enrollment,2024,1615.0,2019,1716.0,2014,1607.0,2009,1641.0,-0.012058910355873032,0.0004967103116568783,-0.001064157078396355
Lynn,Expenditure,Teachers,2024,8019.0,2019,5509.0,2014,4681.0,2009,4446.0,0.07797698384621143,0.05530539223352959,0.04010388128799103
Lynn,Expenditure,"Insurance, Retirement and Other",2024,3416.0,2019,2836.0,2014,2527.0,2009,2955.0,0.037916287334292864,0.030602667031395914,0.0097116297677593
Lynn,Expenditure,Pupil Services,2024,2050.0,2019,1272.0,2014,1178.0,2009,919.0,0.1001536651585413,0.05696560990598187,0.05494355520190819
Lynn,Expenditure,Other Teaching Services,2024,1999.0,2019,1020.0,2014,987.0,2009,1008.0,0.14404346445937177,0.07312315083239418,0.04670303666871334
Lynn,Expenditure,Operations and Maintenance,2024,2637.0,2019,1199.0,2014,1308.0,2009,1113.0,0.17073388729362549,0.07263073886851856,0.05919111985049863
Lynn,Expenditure,Instructional Leadership,2024,1138.0,2019,739.0,2014,671.0,2009,980.0,0.09018339975953826,0.054246029835788745,0.01001481884380273
Lynn,Expenditure,Administration,2024,702.0,2019,431.0,2014,398.0,2009,386.0,0.10248316985467842,0.0583892107841637,0.040678671393696186
Lynn,Expenditure,"Guidance, Counseling and Testing",2024,659.0,2019,376.0,2014,320.0,2009,297.0,0.11876665564392752,0.07491356518815007,0.05456964018940558
Lynn,Expenditure,Other,2024,1483.0,2019,577.0,2014,682.0,2009,1122.0,0.2077945555328622,0.08077596410272592,0.018770950636749495
Lynn,Expenditure,Total PPE,2024,22103.0,2019,13959.0,2014,12752.0,2009,13226.0,0.09627467924753086,0.05654327968310824,0.034828021847174595
Lynn,Enrollment,In-District FTE Pupils,2024,16296.3,2019,15768.2,2014,14461.2,2009,13255.6,0.006610319251707963,0.012018537853086153,0.013863079090133512
Lynn,Enrollment,Out-of-District FTE Pupils,2024,2331.9,2019,2031.8,2014,1224.5,2009,729.1,0.027935330776638345,0.06653500302114179,0.0805914367597591
Lynn,NSS,Ch70 Aid,2024,15037.28231349539,2019,9751.188449403242,2014,8920.702980265807,2009,8421.00229127882,0.09049169082018249,0.053603069936760006,0.039410351985718295
Lynn,NSS,Req NSS (minus Ch70),2024,3400.4654931545124,2019,2802.8092690585568,2014,2828.5353067525843,2009,1582.214735786911,0.039414965276965086,0.018585939250449268,0.05232897817981019
Lynn,NSS,Actual NSS (minus Req NSS),2024,69.76601807432289,2019,336.0833545820952,2014,-605.914959282043,2009,711.5483296193149,-0.2698041059556261,0.11151416003278572,-0.14343044247726766
Lynn,NSS,Total Actual NSS per pupil,2024,18507.513824724225,2019,12890.081073043893,2014,11143.323327736349,2009,10714.765356685046,0.07502480867985928,0.05204262214849331,0.03710889994697353
Lynn,Enrollment,Foundation Enrollment,2024,17895.0,2019,17197.0,2014,14898.0,2009,13966.0,0.00798902212733954,0.018498452045834224,0.016663685162244368
Lynnfield,Expenditure,Teachers,2024,7492.0,2019,6686.0,2014,5769.0,2009,4535.0,0.023025076438625502,0.02647818244024691,0.034033713066367266
Lynnfield,Expenditure,"Insurance, Retirement and Other",2024,2884.0,2019,2480.0,2014,2042.0,2009,1627.0,0.030644084793108428,0.03512775094802123,0.03890024066263753
Lynnfield,Expenditure,Pupil Services,2024,2341.0,2019,1517.0,2014,1233.0,2009,882.0,0.0906443819088365,0.06621265696318845,0.06724023197825035
Lynnfield,Expenditure,Other Teaching Services,2024,1722.0,2019,1214.0,2014,834.0,2009,599.0,0.0724150301065889,0.07519369663282793,0.07293584597062885
Lynnfield,Expenditure,Operations and Maintenance,2024,1784.0,2019,1447.0,2014,1196.0,2009,827.0,0.04276216187978932,0.04079780354668561,0.052590120276321706
Lynnfield,Expenditure,Instructional Leadership,2024,1179.0,2019,978.0,2014,884.0,2009,620.0,0.03808995838627438,0.029215111200498578,0.0437780052148562
Lynnfield,Expenditure,Administration,2024,739.0,2019,578.0,2014,459.0,2009,467.0,0.05037244463916979,0.048777050012438705,0.031070838165298875
Lynnfield,Expenditure,"Guidance, Counseling and Testing",2024,741.0,2019,437.0,2014,468.0,2009,277.0,0.11139222486886502,0.04702544350791871,0.06779831023271798
Lynnfield,Expenditure,Other,2024,417.0,2019,313.0,2014,387.0,2009,325.0,0.05905458187732826,0.007494094090797487,0.016756239637056636
Lynnfield,Expenditure,Total PPE,2024,19299.0,2019,15650.0,2014,13272.0,2009,10159.0,0.042807372356096884,0.03814936656989576,0.043707785427746115
Lynnfield,Enrollment,In-District FTE Pupils,2024,2200.8,2019,2202.4,2014,2195.2,2009,2342.5,-0.00014533828097518242,0.00025480966634927604,-0.004151213427171396
Lynnfield,Enrollment,Out-of-District FTE Pupils,2024,37.8,2019,33.9,2014,23.5,2009,34.7,0.022017707188769498,0.04867857138654408,0.005720930085093778
