Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Explicit Track
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,211.2,"170,970,614",27827,41.0,"22,280,037","334,523","948,225,544","12,196,985,599",1
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,209.6,"1,658,229,422",262248,83.0,"466,080,689","4,324,989","54,258,768","1,051,836,430",1
Daylight,Daylight,David Kushner,4/14/2023,207.0,"1,126,820,069",177800,82.0,"274,070,101","3,701,289","285,329,503","2,578,518,632",0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,206.2,"997,702,304",105927,86.0,"48,093,111","959,175","857,220,853","5,469,808,282",0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,205.7,"59,314,441",2572,83.0,"22,374,807","1,026,097","188,200","1,200,000",1
Houdini,Houdini - Single,Dua Lipa,11/9/2023,205.1,"493,627,071",45300,80.0,"150,571,504","1,575,378","35,970,610","386,610,043",0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,204.4,"1,655,575,417",9,,,,,,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,203.6,"304,929,492",43923,69.0,"61,986,821","921,044","390,207,653","5,684,815,935",1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,203.5,"1,747,093,405",178114,74.0,"9,537,135,721","61,799,279","78,304,409","1,143,297,071",0
euphoria,euphoria,Kendrick Lamar,4/30/2024,202.1,"168,434,320",17168,86.0,"53,604,746","1,846,535",,,1
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,200.3,"104,271",249,25.0,"2,457,026,781",,"36,666","393,580",0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,198.0,"1,391,688,322",163876,77.0,"902,742,581","8,099,187","48,035","2,857,920",0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,195.1,"3,909,458,734",316378,80.0,"8,013,997,219","45,770,887","194,420,058","2,320,856,331",0
Mitu,Mitu - Single,Maian,1/19/2023,194.3,"55,346",42,13.0,"2,432,265,978","8,162,101",,,0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,194.0,"4,281,468,720",590392,83.0,"833,807,130","10,093,211","337,322,563","3,501,177,394",0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,192.3,"1,337,619,917",228295,80.0,"193,982,443","2,023,998","148,085,419","1,268,862,678",1
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,190.0,,2,,"52,480,069","82,092",,,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,190.0,"1,655,575,417",1,,,,,,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,189.1,"1,556,275,789",210583,74.0,"254,051,906","3,364,206","683,088,623","7,945,975,878",0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,187.9,,2,9.0,,,,,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,186.5,"1,384",2,,"222,076","5,430","605,320,683","8,811,416,708",0
Supernova,Supernova,aespa,5/13/2024,186.1,"69,729,033",2483,81.0,"111,310,770","1,724,693","61,038,623","393,973,528",0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,184.8,"1,811,990,630",173358,79.0,"1,516,863,120","8,870,768","549,886,060","6,470,937,272",1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,181.4,"199,929,812",4,,,,,,1
Calm Down,Calm Down,Rema,2/10/2022,180.1,"584,427,088",182994,68.0,"1,141,904,909","8,766,235","856,216,952","18,216,656,774",0
CARNIVAL,CARNIVAL,ýý$,2/8/2024,179.6,"466,887,055",53842,84.0,"27,688,666","449,112",,,1
Kill Bill,SOS,SZA,12/8/2022,177.7,"1,873,746,537",190202,82.0,"220,538,045","3,153,793","152,410,048","1,284,413,960",0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,177.6,"891,720,245",114560,82.0,"144,741,616","2,761,964","498,822,693","3,998,086,216",0
